dataset,openml_id,rep,acc
banana,1460,0,0.8297169811320755
breast-cancer,13,0,0.5826086956521739
breast-w,15,0,0.9678571428571429
diabetes,37,0,0.762987012987013
credit-g,31,0,0.7175
heart-statlog,53,0,0.7870370370370371
segment,36,0,0.9945887445887446
ringnorm,1496,0,0.9733108108108108
sonar,40,0,0.8571428571428571
splice,46,0,0.9623824451410659
Titanic,40945,0,0.9026717557251909
waveform-5000,60,0,0.882
hypothyroid,57,0,0.9728296885354539
