case,title,dimension,mean_gap_input,cov_gap_input,note
largecov220,"Large Covariance Case: d=220, Same Mean, Different Covariances",220,0.0,105.61786860720616,High-dimensional large-covariance regime with matched trace; no mean difference.
smallcov220,"Small Covariance Case: d=220, Mean Gap Plus Small Covariance Gap",220,1.1000000000000003,2.5746473015799936,High-dimensional case where the covariance gap is real but weaker than its estimation error.
