variant,r,stage1_kernel,stage1_params,stage1_label,val_acc,best_svm_kernel,best_svm_params,diag,regime,repeat
MY-large_mu,3,polynomial,"{'degree': 2, 'gamma': 0.003611149486188753, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.003611149486188753)",0.5181818181818182,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0002, 0.0026, 0.0045]), 'lambdas': array([0.0002, 0.0026, 0.0045]), 'gvals': array([2619.6543,  187.6512,  106.9465])}",weak220,1
MY-large_mu,3,sigmoid,"{'gamma': 0.003611149486188753, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.003611149486188753)",0.6484848484848484,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0017, 0.0136, 0.0334]), 'lambdas': array([0.0017, 0.0136, 0.0334]), 'gvals': array([283.3304,  34.0434,  12.7778])}",weak220,1
MY-large_mu,4,linear,{},linear,0.6484848484848484,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0005, 0.0025, 0.0069, 0.0158]), 'lambdas': array([0.0005, 0.0025, 0.0069, 0.0158]), 'gvals': array([1028.9652,  199.5944,   69.7228,   29.0703])}",weak220,1
MY-large_mu,4,rbf,{'gamma': 0.003611149486188753},rbf(gamma=0.003611149486188753),0.5484848484848485,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0003, 0.0005, 0.0009]), 'lambdas': array([0.    , 0.0003, 0.0005, 0.0009]), 'gvals': array([10223.9218,  1440.5483,  1095.1576,   528.1555])}",weak220,1
MY-large_mu,4,laplacian,{'gamma': 0.003611149486188753},laplacian(gamma=0.003611149486188753),0.4909090909090909,sigmoid,"{'C': 0.5, 'gamma': 'scale', 'coef0': 0.0}","{'thetas': array([0.0001, 0.0003, 0.0004, 0.0007]), 'lambdas': array([0.0001, 0.0003, 0.0004, 0.0007]), 'gvals': array([4381.4369, 1950.0306, 1325.259 ,  744.3429])}",weak220,1
MY-large_mu,4,polynomial,"{'degree': 2, 'gamma': 0.003611149486188753, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.003611149486188753)",0.509090909090909,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0021, 0.003 , 0.0044, 0.007 ]), 'lambdas': array([0.0021, 0.003 , 0.0044, 0.007 ]), 'gvals': array([229.5746, 163.61  , 111.1909,  68.1836])}",weak220,1
MY-large_mu,4,sigmoid,"{'gamma': 0.003611149486188753, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.003611149486188753)",0.5909090909090909,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.0118, 0.0173, 0.0252, 0.0326]), 'lambdas': array([0.0118, 0.0173, 0.0252, 0.0326]), 'gvals': array([39.716 , 26.3475, 17.4755, 13.1177])}",weak220,1
MY-small_mu,1,linear,{},linear,0.6,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.]), 'lambdas': array([0.]), 'D_scores': array([9.4229e+08])}",weak220,1
MY-small_mu,1,rbf,{'gamma': 0.003611149486188753},rbf(gamma=0.003611149486188753),0.5181818181818182,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.]), 'lambdas': array([0.]), 'D_scores': array([153101.0886])}",weak220,1
MY-small_mu,1,laplacian,{'gamma': 0.003611149486188753},laplacian(gamma=0.003611149486188753),0.49696969696969695,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.]), 'lambdas': array([0.]), 'D_scores': array([14213.3118])}",weak220,1
MY-small_mu,1,polynomial,"{'degree': 2, 'gamma': 0.003611149486188753, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.003611149486188753)",0.49393939393939396,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.0001]), 'lambdas': array([0.0001]), 'D_scores': array([6204.2546])}",weak220,1
MY-small_mu,1,sigmoid,"{'gamma': 0.003611149486188753, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.003611149486188753)",0.5272727272727272,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.0088]), 'lambdas': array([0.0088]), 'D_scores': array([53.9744])}",weak220,1
MY-small_mu,2,linear,{},linear,0.5454545454545454,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0062]), 'lambdas': array([0.    , 0.0062]), 'D_scores': array([9.0243e+09, 7.7427e+01])}",weak220,1
MY-small_mu,2,rbf,{'gamma': 0.003611149486188753},rbf(gamma=0.003611149486188753),0.5303030303030303,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.0001, 0.0002]), 'lambdas': array([0.0001, 0.0002]), 'D_scores': array([5360.9376, 2477.4811])}",weak220,1
MY-small_mu,2,laplacian,{'gamma': 0.003611149486188753},laplacian(gamma=0.003611149486188753),0.5303030303030303,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0004]), 'lambdas': array([0.    , 0.0004]), 'D_scores': array([95932.1707,  1234.3646])}",weak220,1
MY-small_mu,2,polynomial,"{'degree': 2, 'gamma': 0.003611149486188753, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.003611149486188753)",0.5272727272727272,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.0009, 0.0021]), 'lambdas': array([0.0009, 0.0021]), 'D_scores': array([556.2803, 239.2999])}",weak220,1
MY-small_mu,2,sigmoid,"{'gamma': 0.003611149486188753, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.003611149486188753)",0.5696969696969697,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.0166, 0.0243]), 'lambdas': array([0.0166, 0.0243]), 'D_scores': array([27.5504, 18.1902])}",weak220,1
MY-small_mu,3,linear,{},linear,0.5727272727272728,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0027, 0.0054, 0.0071]), 'lambdas': array([0.0027, 0.0054, 0.0071]), 'D_scores': array([183.3475,  89.8467,  67.3829])}",weak220,1
MY-small_mu,3,rbf,{'gamma': 0.003611149486188753},rbf(gamma=0.003611149486188753),0.5575757575757576,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0001, 0.0001, 0.0003]), 'lambdas': array([0.0001, 0.0001, 0.0003]), 'D_scores': array([8194.3395, 3684.7342, 1912.3827])}",weak220,1
MY-small_mu,3,laplacian,{'gamma': 0.003611149486188753},laplacian(gamma=0.003611149486188753),0.5363636363636364,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0006, 0.001 ]), 'lambdas': array([0.    , 0.0006, 0.001 ]), 'D_scores': array([10882.5115,   881.6888,   473.025 ])}",weak220,1
MY-small_mu,3,polynomial,"{'degree': 2, 'gamma': 0.003611149486188753, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.003611149486188753)",0.5272727272727272,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.0002, 0.0026, 0.0045]), 'lambdas': array([0.0002, 0.0026, 0.0045]), 'D_scores': array([2619.6707,  187.7302,  106.9466])}",weak220,1
MY-small_mu,3,sigmoid,"{'gamma': 0.003611149486188753, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.003611149486188753)",0.5181818181818182,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.0017, 0.0136, 0.0334]), 'lambdas': array([0.0017, 0.0136, 0.0334]), 'D_scores': array([283.6575,  34.0701,  12.7936])}",weak220,1
MY-small_mu,4,linear,{},linear,0.5181818181818182,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0005, 0.0025, 0.0069, 0.0158]), 'lambdas': array([0.0005, 0.0025, 0.0069, 0.0158]), 'D_scores': array([1030.2106,  199.6382,   69.761 ,   29.0739])}",weak220,1
MY-small_mu,4,rbf,{'gamma': 0.003611149486188753},rbf(gamma=0.003611149486188753),0.5242424242424243,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.0003, 0.0005, 0.0009]), 'lambdas': array([0.    , 0.0003, 0.0005, 0.0009]), 'D_scores': array([10224.7608,  1440.7421,  1095.2888,   528.1567])}",weak220,1
MY-small_mu,4,laplacian,{'gamma': 0.003611149486188753},laplacian(gamma=0.003611149486188753),0.5333333333333333,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0001, 0.0003, 0.0004, 0.0007]), 'lambdas': array([0.0001, 0.0003, 0.0004, 0.0007]), 'D_scores': array([4381.6433, 1950.0443, 1325.2709,  744.3435])}",weak220,1
MY-small_mu,4,polynomial,"{'degree': 2, 'gamma': 0.003611149486188753, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.003611149486188753)",0.5363636363636364,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.0021, 0.003 , 0.0044, 0.007 ]), 'lambdas': array([0.0021, 0.003 , 0.0044, 0.007 ]), 'D_scores': array([229.6139, 163.6219, 111.1945,  68.1872])}",weak220,1
MY-small_mu,4,sigmoid,"{'gamma': 0.003611149486188753, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.003611149486188753)",0.5181818181818182,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0118, 0.0173, 0.0252, 0.0326]), 'lambdas': array([0.0118, 0.0173, 0.0252, 0.0326]), 'D_scores': array([39.7161, 26.349 , 17.4905, 13.1186])}",weak220,1
