variant,r,stage1_kernel,stage1_params,stage1_label,val_acc,best_svm_kernel,best_svm_params,diag,regime,repeat
MY-large_mu,3,sigmoid,"{'gamma': 0.0015153536519245177, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0015153536519245177)",0.6307692307692307,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.0015, 0.0045]), 'lambdas': array([0.    , 0.0015, 0.0045]), 'gvals': array([7.6725e+09, 3.3225e+02, 1.0761e+02])}",same_mean_diff_covariance,1
MY-large_mu,4,linear,{},linear,0.6230769230769231,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.0007, 0.0011]), 'lambdas': array([0.    , 0.    , 0.0007, 0.0011]), 'gvals': array([9.1751e+08, 4.6888e+08, 6.7910e+02, 4.5320e+02])}",same_mean_diff_covariance,1
MY-large_mu,4,rbf,{'gamma': 0.0015153536519245177},rbf(gamma=0.0015153536519245177),0.5384615384615384,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.0001, 0.0001, 0.0002]), 'lambdas': array([0.    , 0.0001, 0.0001, 0.0002]), 'gvals': array([26065.4288,  7359.5755,  4306.7526,  2014.4785])}",same_mean_diff_covariance,1
MY-large_mu,4,laplacian,{'gamma': 0.0015153536519245177},laplacian(gamma=0.0015153536519245177),0.6461538461538462,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0001, 0.0001, 0.0002, 0.0002]), 'lambdas': array([0.0001, 0.0001, 0.0002, 0.0002]), 'gvals': array([7778.4644, 4317.8657, 3199.3312, 2402.2511])}",same_mean_diff_covariance,1
MY-large_mu,4,polynomial,"{'degree': 2, 'gamma': 0.0015153536519245177, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0015153536519245177)",0.5769230769230769,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0003, 0.0005, 0.0008, 0.0015]), 'lambdas': array([0.0003, 0.0005, 0.0008, 0.0015]), 'gvals': array([1868.8182,  905.1548,  605.2993,  339.8012])}",same_mean_diff_covariance,1
MY-large_mu,4,sigmoid,"{'gamma': 0.0015153536519245177, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0015153536519245177)",0.5846153846153846,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.    , 0.0011, 0.0059]), 'lambdas': array([0.    , 0.    , 0.0011, 0.0059]), 'gvals': array([6.0988e+10, 7.6605e+08, 4.4891e+02, 8.2356e+01])}",same_mean_diff_covariance,1
MY-large_mu,5,linear,{},linear,0.7,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.    , 0.0016, 0.0022]), 'lambdas': array([0.    , 0.    , 0.    , 0.0016, 0.0022]), 'gvals': array([1.3669e+09, 1.1929e+09, 5.6260e+08, 3.1159e+02, 2.1945e+02])}",same_mean_diff_covariance,1
MY-large_mu,5,rbf,{'gamma': 0.0015153536519245177},rbf(gamma=0.0015153536519245177),0.5692307692307692,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.    , 0.0001, 0.0001, 0.0002]), 'lambdas': array([0.    , 0.    , 0.0001, 0.0001, 0.0002]), 'gvals': array([60524.3748, 16773.3309,  5235.9316,  3392.3409,  2382.8549])}",same_mean_diff_covariance,1
MY-large_mu,5,laplacian,{'gamma': 0.0015153536519245177},laplacian(gamma=0.0015153536519245177),0.6153846153846154,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0001, 0.0001, 0.0002, 0.0003, 0.0004]), 'lambdas': array([0.0001, 0.0001, 0.0002, 0.0003, 0.0004]), 'gvals': array([5658.7091, 3494.6714, 2261.1795, 1710.2142, 1161.881 ])}",same_mean_diff_covariance,1
MY-large_mu,5,polynomial,"{'degree': 2, 'gamma': 0.0015153536519245177, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0015153536519245177)",0.6692307692307692,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0002, 0.0008, 0.0012, 0.0017, 0.0022]), 'lambdas': array([0.0002, 0.0008, 0.0012, 0.0017, 0.0022]), 'gvals': array([2666.476 ,  633.4151,  410.4032,  291.9615,  218.7846])}",same_mean_diff_covariance,1
MY-large_mu,5,sigmoid,"{'gamma': 0.0015153536519245177, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0015153536519245177)",0.5538461538461539,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.    , 0.    , 0.0001]), 'lambdas': array([0.    , 0.    , 0.    , 0.    , 0.0001]), 'gvals': array([1.7285e+09, 9.4806e+08, 8.4516e+08, 5.6243e+08, 7.5499e+03])}",same_mean_diff_covariance,1
MY-large_mu,6,linear,{},linear,0.6538461538461539,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.    , 0.    , 0.001 , 0.0014, 0.0025]), 'lambdas': array([0.    , 0.    , 0.    , 0.001 , 0.0014, 0.0025]), 'gvals': array([1.4504e+09, 8.3698e+08, 3.2040e+08, 5.1227e+02, 3.5270e+02,
       1.9828e+02])}",same_mean_diff_covariance,1
MY-large_mu,6,rbf,{'gamma': 0.0015153536519245177},rbf(gamma=0.0015153536519245177),0.5384615384615384,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.    , 0.0001, 0.0002, 0.0003]), 'lambdas': array([0.    , 0.    , 0.    , 0.0001, 0.0002, 0.0003]), 'gvals': array([96498.3696, 26275.3229, 11517.1183,  3868.0077,  2615.379 ,
        1736.1558])}",same_mean_diff_covariance,1
MY-large_mu,6,laplacian,{'gamma': 0.0015153536519245177},laplacian(gamma=0.0015153536519245177),0.6076923076923076,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0001, 0.0001, 0.0002, 0.0004, 0.0004, 0.0007]), 'lambdas': array([0.0001, 0.0001, 0.0002, 0.0004, 0.0004, 0.0007]), 'gvals': array([6648.5433, 3605.7934, 2056.8182, 1379.0122, 1184.9895,  754.5952])}",same_mean_diff_covariance,1
MY-large_mu,6,polynomial,"{'degree': 2, 'gamma': 0.0015153536519245177, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0015153536519245177)",0.6307692307692307,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.0007, 0.0009, 0.0013, 0.0016, 0.0024, 0.0026]), 'lambdas': array([0.0007, 0.0009, 0.0013, 0.0016, 0.0024, 0.0026]), 'gvals': array([714.8858, 552.9692, 389.1871, 304.4813, 203.3982, 192.3967])}",same_mean_diff_covariance,1
MY-large_mu,6,sigmoid,"{'gamma': 0.0015153536519245177, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0015153536519245177)",0.5538461538461539,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.    , 0.    , 0.0013, 0.0049]), 'lambdas': array([0.    , 0.    , 0.    , 0.    , 0.0013, 0.0049]), 'gvals': array([4.1857e+09, 1.2428e+09, 9.1145e+08, 6.7438e+08, 3.7093e+02,
       9.9754e+01])}",same_mean_diff_covariance,1
MY-large_mu,7,linear,{},linear,0.6153846153846154,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.    , 0.    , 0.0011, 0.0028, 0.0067]), 'lambdas': array([0.    , 0.    , 0.    , 0.    , 0.0011, 0.0028, 0.0067]), 'gvals': array([1.3897e+09, 1.0680e+09, 5.6050e+08, 2.5726e+04, 4.6848e+02,
       1.7244e+02, 7.1984e+01])}",same_mean_diff_covariance,1
MY-large_mu,7,rbf,{'gamma': 0.0015153536519245177},rbf(gamma=0.0015153536519245177),0.6076923076923076,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.0001, 0.0001, 0.0002, 0.0003, 0.0004, 0.0005]), 'lambdas': array([0.    , 0.0001, 0.0001, 0.0002, 0.0003, 0.0004, 0.0005]), 'gvals': array([11589.4613,  8847.2153,  3797.1698,  2832.288 ,  1897.8318,
        1258.8277,  1040.9718])}",same_mean_diff_covariance,1
MY-large_mu,7,laplacian,{'gamma': 0.0015153536519245177},laplacian(gamma=0.0015153536519245177),0.5692307692307692,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.0001, 0.0001, 0.0002, 0.0003, 0.0004, 0.0005]), 'lambdas': array([0.    , 0.0001, 0.0001, 0.0002, 0.0003, 0.0004, 0.0005]), 'gvals': array([29533.7888,  6391.7959,  4909.6953,  2565.8481,  1910.0086,
        1211.5228,   983.2545])}",same_mean_diff_covariance,1
MY-large_mu,7,polynomial,"{'degree': 2, 'gamma': 0.0015153536519245177, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0015153536519245177)",0.6153846153846154,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0002, 0.0007, 0.0013, 0.0017, 0.0019, 0.0037, 0.0043]), 'lambdas': array([0.0002, 0.0007, 0.0013, 0.0017, 0.0019, 0.0037, 0.0043]), 'gvals': array([2405.5389,  683.9154,  378.9842,  287.9066,  256.8413,  132.3708,
        112.0763])}",same_mean_diff_covariance,1
MY-large_mu,7,sigmoid,"{'gamma': 0.0015153536519245177, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0015153536519245177)",0.6923076923076923,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.    , 0.    , 0.    , 0.    , 0.0025, 0.0048, 0.0101]), 'lambdas': array([0.    , 0.    , 0.    , 0.    , 0.0025, 0.0048, 0.0101]), 'gvals': array([2.6512e+09, 1.8427e+09, 1.0767e+09, 4.6050e+08, 1.9932e+02,
       1.0114e+02, 4.6725e+01])}",same_mean_diff_covariance,1
MY-large_mu,8,linear,{},linear,0.7076923076923077,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.    , 0.    , 0.0005, 0.0011, 0.0018, 0.0028, 0.0038]), 'lambdas': array([0.    , 0.    , 0.    , 0.0005, 0.0011, 0.0018, 0.0028, 0.0038]), 'gvals': array([1.8398e+09, 7.0034e+08, 5.9510e+08, 9.9129e+02, 4.4785e+02,
       2.7623e+02, 1.7461e+02, 1.2832e+02])}",same_mean_diff_covariance,1
MY-large_mu,8,rbf,{'gamma': 0.0015153536519245177},rbf(gamma=0.0015153536519245177),0.7307692307692307,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.0001, 0.0002, 0.0002, 0.0003, 0.0003, 0.0005]), 'lambdas': array([0.    , 0.    , 0.0001, 0.0002, 0.0002, 0.0003, 0.0003, 0.0005]), 'gvals': array([126012.3732,  12000.2027,   4015.6246,   2734.868 ,   2483.5443,
         1670.5744,   1449.2699,    939.2405])}",same_mean_diff_covariance,1
MY-large_mu,8,laplacian,{'gamma': 0.0015153536519245177},laplacian(gamma=0.0015153536519245177),0.6230769230769231,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0001, 0.0001, 0.0002, 0.0004, 0.0005, 0.0005, 0.0007, 0.0007]), 'lambdas': array([0.0001, 0.0001, 0.0002, 0.0004, 0.0005, 0.0005, 0.0007, 0.0007]), 'gvals': array([6348.7114, 3361.1359, 2042.4681, 1336.4083, 1029.803 ,  938.9395,
        725.6309,  670.4692])}",same_mean_diff_covariance,1
MY-large_mu,8,polynomial,"{'degree': 2, 'gamma': 0.0015153536519245177, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0015153536519245177)",0.6615384615384615,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.0002, 0.0006, 0.0008, 0.0011, 0.0017, 0.002 , 0.0028, 0.0039]), 'lambdas': array([0.0002, 0.0006, 0.0008, 0.0011, 0.0017, 0.002 , 0.0028, 0.0039]), 'gvals': array([2673.4993,  777.8455,  643.1437,  455.295 ,  293.6201,  245.7289,
        173.6575,  125.7071])}",same_mean_diff_covariance,1
MY-large_mu,8,sigmoid,"{'gamma': 0.0015153536519245177, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0015153536519245177)",0.7384615384615385,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.0027, 0.004 , 0.01  , 0.0152, 0.0163, 0.0235]), 'lambdas': array([0.    , 0.    , 0.0027, 0.004 , 0.01  , 0.0152, 0.0163, 0.0235]), 'gvals': array([2.3996e+09, 4.1239e+08, 1.8100e+02, 1.2278e+02, 4.6973e+01,
       3.0288e+01, 2.8196e+01, 1.8888e+01])}",same_mean_diff_covariance,1
MY-large_mu,10,linear,{},linear,0.5538461538461539,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.002 , 0.0025, 0.003 , 0.0042, 0.0057, 0.0064, 0.009 ,
       0.0111, 0.0131]), 'lambdas': array([0.    , 0.002 , 0.0025, 0.003 , 0.0042, 0.0057, 0.0064, 0.009 ,
       0.0111, 0.0131]), 'gvals': array([6.3588e+08, 2.4824e+02, 1.9272e+02, 1.6061e+02, 1.1594e+02,
       8.5371e+01, 7.4977e+01, 5.2623e+01, 4.2199e+01, 3.5528e+01])}",same_mean_diff_covariance,1
MY-large_mu,10,rbf,{'gamma': 0.0015153536519245177},rbf(gamma=0.0015153536519245177),0.6153846153846154,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.0001, 0.0002, 0.0003, 0.0004, 0.0005, 0.0005,
       0.0007, 0.0008]), 'lambdas': array([0.    , 0.    , 0.0001, 0.0002, 0.0003, 0.0004, 0.0005, 0.0005,
       0.0007, 0.0008]), 'gvals': array([41670.5682, 13197.9217,  7366.9425,  2248.6889,  1586.202 ,
        1423.878 ,  1046.4837,   932.9008,   748.4017,   649.7262])}",same_mean_diff_covariance,1
MY-large_mu,10,laplacian,{'gamma': 0.0015153536519245177},laplacian(gamma=0.0015153536519245177),0.6923076923076923,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0001, 0.0001, 0.0002, 0.0003, 0.0003, 0.0004, 0.0006, 0.0007,
       0.0007, 0.001 ]), 'lambdas': array([0.0001, 0.0001, 0.0002, 0.0003, 0.0003, 0.0004, 0.0006, 0.0007,
       0.0007, 0.001 ]), 'gvals': array([8455.2983, 5805.8887, 2736.2405, 1712.4504, 1519.357 , 1181.7608,
        829.7085,  743.0427,  684.9012,  503.6648])}",same_mean_diff_covariance,1
MY-large_mu,10,polynomial,"{'degree': 2, 'gamma': 0.0015153536519245177, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0015153536519245177)",0.5692307692307692,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0004, 0.0007, 0.001 , 0.0015, 0.0022, 0.0025, 0.0033, 0.0035,
       0.005 , 0.0052]), 'lambdas': array([0.0004, 0.0007, 0.001 , 0.0015, 0.0022, 0.0025, 0.0033, 0.0035,
       0.005 , 0.0052]), 'gvals': array([1196.2222,  678.4819,  476.7335,  340.553 ,  224.8057,  197.8627,
        146.4668,  138.0985,   96.8351,   92.3759])}",same_mean_diff_covariance,1
MY-large_mu,10,sigmoid,"{'gamma': 0.0015153536519245177, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0015153536519245177)",0.6076923076923076,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.    , 0.    , 0.    , 0.    , 0.0006, 0.0023,
       0.004 , 0.0081]), 'lambdas': array([0.    , 0.    , 0.    , 0.    , 0.    , 0.    , 0.0006, 0.0023,
       0.004 , 0.0081]), 'gvals': array([8.4736e+09, 1.6247e+09, 6.7545e+08, 5.9012e+08, 5.4739e+08,
       4.3058e+08, 8.0131e+02, 2.1799e+02, 1.2265e+02, 5.8507e+01])}",same_mean_diff_covariance,1
MY-large_mu,12,linear,{},linear,0.6384615384615384,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.    , 0.    , 0.    , 0.0003, 0.001 , 0.0015, 0.0022, 0.0027,
       0.0051, 0.0101, 0.0106, 0.014 ]), 'lambdas': array([0.    , 0.    , 0.    , 0.0003, 0.001 , 0.0015, 0.0022, 0.0027,
       0.0051, 0.0101, 0.0106, 0.014 ]), 'gvals': array([1.0963e+10, 1.3573e+09, 3.2986e+08, 1.9539e+03, 5.0652e+02,
       3.2844e+02, 2.2186e+02, 1.8106e+02, 9.4002e+01, 4.6721e+01,
       4.4488e+01, 3.3054e+01])}",same_mean_diff_covariance,1
MY-large_mu,12,rbf,{'gamma': 0.0015153536519245177},rbf(gamma=0.0015153536519245177),0.7307692307692307,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.0001, 0.0001, 0.0002, 0.0004, 0.0004, 0.0005, 0.0006,
       0.0006, 0.0009, 0.0012, 0.0014]), 'lambdas': array([0.    , 0.0001, 0.0001, 0.0002, 0.0004, 0.0004, 0.0005, 0.0006,
       0.0006, 0.0009, 0.0012, 0.0014]), 'gvals': array([19641.2312,  8059.3574,  5011.5074,  2138.6994,  1398.1979,
        1171.2257,   973.6323,   829.2332,   766.8978,   574.2725,
         425.2275,   358.6973])}",same_mean_diff_covariance,1
MY-large_mu,12,laplacian,{'gamma': 0.0015153536519245177},laplacian(gamma=0.0015153536519245177),0.6307692307692307,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.0001, 0.0001, 0.0002, 0.0003, 0.0005, 0.0005, 0.0006,
       0.0006, 0.0007, 0.0009, 0.0011]), 'lambdas': array([0.    , 0.0001, 0.0001, 0.0002, 0.0003, 0.0005, 0.0005, 0.0006,
       0.0006, 0.0007, 0.0009, 0.0011]), 'gvals': array([54207.4571,  8204.662 ,  4634.9572,  3134.7012,  1941.8396,
        1085.6233,   943.0989,   875.6628,   768.7784,   726.8655,
         545.366 ,   443.1432])}",same_mean_diff_covariance,1
MY-large_mu,12,polynomial,"{'degree': 2, 'gamma': 0.0015153536519245177, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0015153536519245177)",0.7923076923076923,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0001, 0.0008, 0.0009, 0.0013, 0.0018, 0.0023, 0.0032, 0.0041,
       0.0045, 0.0065, 0.0074, 0.0083]), 'lambdas': array([0.0001, 0.0008, 0.0009, 0.0013, 0.0018, 0.0023, 0.0032, 0.0041,
       0.0045, 0.0065, 0.0074, 0.0083]), 'gvals': array([3413.7857,  640.9705,  557.9758,  367.8637,  278.1402,  216.5979,
        153.1863,  119.4027,  107.3873,   74.2942,   64.5288,   57.0502])}",same_mean_diff_covariance,1
MY-large_mu,12,sigmoid,"{'gamma': 0.0015153536519245177, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0015153536519245177)",0.676923076923077,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.    , 0.0012, 0.0036, 0.008 , 0.0101, 0.0151,
       0.0198, 0.0252, 0.0271, 0.032 ]), 'lambdas': array([0.    , 0.    , 0.    , 0.0012, 0.0036, 0.008 , 0.0101, 0.0151,
       0.0198, 0.0252, 0.0271, 0.032 ]), 'gvals': array([2.5000e+09, 2.0895e+09, 6.8067e+08, 4.0011e+02, 1.3459e+02,
       5.9464e+01, 4.6523e+01, 3.0573e+01, 2.2834e+01, 1.7532e+01,
       1.6137e+01, 1.3390e+01])}",same_mean_diff_covariance,1
MY-large_mu,14,linear,{},linear,0.6846153846153846,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.    , 0.    , 0.    , 0.    , 0.0013, 0.0016,
       0.0036, 0.0048, 0.0067, 0.0088, 0.0131, 0.0151]), 'lambdas': array([0.    , 0.    , 0.    , 0.    , 0.    , 0.    , 0.0013, 0.0016,
       0.0036, 0.0048, 0.0067, 0.0088, 0.0131, 0.0151]), 'gvals': array([4.2439e+09, 1.4641e+09, 8.0524e+08, 5.2048e+08, 4.4753e+08,
       3.0071e+08, 3.9440e+02, 3.0483e+02, 1.3748e+02, 1.0024e+02,
       7.1636e+01, 5.4069e+01, 3.5598e+01, 3.0562e+01])}",same_mean_diff_covariance,1
MY-large_mu,14,rbf,{'gamma': 0.0015153536519245177},rbf(gamma=0.0015153536519245177),0.6307692307692307,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.0001, 0.0001, 0.0003, 0.0004, 0.0004, 0.0006,
       0.0007, 0.0009, 0.0011, 0.0013, 0.0015, 0.0019]), 'lambdas': array([0.    , 0.    , 0.0001, 0.0001, 0.0003, 0.0004, 0.0004, 0.0006,
       0.0007, 0.0009, 0.0011, 0.0013, 0.0015, 0.0019]), 'gvals': array([25528.2868, 17479.844 ,  4767.6591,  3426.3431,  1428.4456,
        1270.7513,  1237.3217,   901.6177,   751.0046,   570.5583,
         460.4301,   382.4719,   330.2349,   255.9184])}",same_mean_diff_covariance,1
