index,regime,variant,r,mean,std,n_repeats
59,diff_mean_tiny_covariance_gap,MY-small_mu,12,0.5081944444444444,0.010226033407888928,3
60,diff_mean_tiny_covariance_gap,MY-small_mu,14,0.5081944444444444,0.007515416254704819,3
61,diff_mean_tiny_covariance_gap,MY-small_mu,16,0.5134722222222222,0.01988392240908143,3
62,diff_mean_tiny_covariance_gap,MY-small_mu,20,0.5072222222222221,0.007974931788864157,3
63,diff_mean_tiny_covariance_gap,MY-small_mu,24,0.5130555555555555,0.007595838285486268,3
64,diff_mean_tiny_covariance_gap,MY-small_mu,28,0.5120833333333333,0.011110243021644484,3
65,diff_mean_tiny_covariance_gap,MY-small_mu,32,0.5123611111111112,0.023215226883648188,3
66,same_mean_diff_covariance,KFDA-1D,1,0.5225,0.031369217041197814,3
67,same_mean_diff_covariance,MY-large_mu,1,0.5465277777777778,0.012235630271798333,3
68,same_mean_diff_covariance,MY-large_mu,2,0.5570833333333333,0.03462848458198025,3
69,same_mean_diff_covariance,MY-large_mu,3,0.5637500000000001,0.024220486048889343,3
70,same_mean_diff_covariance,MY-large_mu,4,0.5522222222222223,0.016294454862291564,3
71,same_mean_diff_covariance,MY-large_mu,5,0.5318055555555555,0.015311200814121989,3
72,same_mean_diff_covariance,MY-large_mu,6,0.5344444444444444,0.023427389794695316,3
73,same_mean_diff_covariance,MY-large_mu,7,0.5445833333333333,0.008111634305804877,3
74,same_mean_diff_covariance,MY-large_mu,8,0.5476388888888889,0.022601366313992163,3
75,same_mean_diff_covariance,MY-large_mu,10,0.5343055555555555,0.004089564406759855,3
76,same_mean_diff_covariance,MY-large_mu,12,0.5641666666666667,0.006934715407122184,3
77,same_mean_diff_covariance,MY-large_mu,14,0.5663888888888889,0.0006364688465216289,3
78,same_mean_diff_covariance,MY-large_mu,16,0.5856944444444444,0.030340467720216188,3
79,same_mean_diff_covariance,MY-large_mu,20,0.61,0.01181453906563147,3
80,same_mean_diff_covariance,MY-large_mu,24,0.6351388888888888,0.028850468575692755,3
81,same_mean_diff_covariance,MY-large_mu,28,0.6927777777777777,0.00875330625366036,3
82,same_mean_diff_covariance,MY-large_mu,32,0.6969444444444445,0.005422005915539829,3
83,same_mean_diff_covariance,MY-small_mu,1,0.5344444444444445,0.014051822077713126,3
84,same_mean_diff_covariance,MY-small_mu,2,0.5077777777777778,0.006735753140545588,3
85,same_mean_diff_covariance,MY-small_mu,3,0.5363888888888889,0.013752104216096234,3
86,same_mean_diff_covariance,MY-small_mu,4,0.5338888888888889,0.010551899951790311,3
87,same_mean_diff_covariance,MY-small_mu,5,0.5273611111111111,0.01443576127898015,3
88,same_mean_diff_covariance,MY-small_mu,6,0.5320833333333334,0.026421398104146118,3
89,same_mean_diff_covariance,MY-small_mu,7,0.5222222222222223,0.007742977702647981,3
90,same_mean_diff_covariance,MY-small_mu,8,0.5556944444444444,0.004570689631084456,3
91,same_mean_diff_covariance,MY-small_mu,10,0.5504166666666667,0.023610702610845302,3
92,same_mean_diff_covariance,MY-small_mu,12,0.5375,0.009851325347947465,3
93,same_mean_diff_covariance,MY-small_mu,14,0.5805555555555556,0.013802509165338707,3
94,same_mean_diff_covariance,MY-small_mu,16,0.6072222222222222,0.047187078425882316,3
95,same_mean_diff_covariance,MY-small_mu,20,0.6115277777777778,0.003071297831596652,3
96,same_mean_diff_covariance,MY-small_mu,24,0.6141666666666666,0.04058812428941915,3
97,same_mean_diff_covariance,MY-small_mu,28,0.6862499999999999,0.01358486698908426,3
98,same_mean_diff_covariance,MY-small_mu,32,0.6897222222222222,0.007280745790045074,3
