my_r,my_best_acc,my_best_family,closest_supcon_r,supcon_acc_at_closest_r,abs_acc_gap
3,0.9991666666666666,MY-large_mu,6,0.9491666666666667,0.04999999999999993
4,0.9991666666666666,MY-large_mu,6,0.9491666666666667,0.04999999999999993
5,0.9989583333333334,MY-large_mu,6,0.9491666666666667,0.04979166666666668
6,0.9989583333333334,MY-large_mu,6,0.9491666666666667,0.04979166666666668
