r,my_large_acc,my_small_acc,supcon_acc,my_best_acc,my_best_family
1,0.9991666666666666,0.5752083333333333,0.9470833333333333,0.9991666666666666,MY-large_mu
2,0.9991666666666666,0.5966666666666667,0.9479166666666667,0.9991666666666666,MY-large_mu
3,0.9991666666666666,0.6120833333333333,0.9475,0.9991666666666666,MY-large_mu
4,0.9991666666666666,0.6375,0.9468749999999999,0.9991666666666666,MY-large_mu
5,0.9989583333333334,0.6364583333333333,0.9483333333333334,0.9989583333333334,MY-large_mu
6,0.9989583333333334,0.640625,0.9491666666666667,0.9989583333333334,MY-large_mu
