variant,r,stage1_kernel,stage1_params,stage1_label,val_acc,best_svm_kernel,best_svm_params,diag,regime,repeat
MY-small_mu,4,rbf,{'gamma': 0.0016597722801344522},rbf(gamma=0.0016597722801344522),0.5666666666666667,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0001, 0.0002, 0.0004, 0.0005]), 'lambdas': array([0.0001, 0.0002, 0.0004, 0.0005]), 'D_scores': array([4254.407 , 2681.3686, 1413.3566, 1028.3209])}",strong500,1
MY-small_mu,4,laplacian,{'gamma': 0.0016597722801344522},laplacian(gamma=0.0016597722801344522),0.509090909090909,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.0001, 0.0001]), 'lambdas': array([0.    , 0.    , 0.0001, 0.0001]), 'D_scores': array([15018.2681, 10237.1404,  5562.3024,  4860.073 ])}",strong500,1
MY-small_mu,4,polynomial,"{'degree': 2, 'gamma': 0.0016597722801344522, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016597722801344522)",0.5484848484848485,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0004, 0.0007, 0.0016, 0.0029]), 'lambdas': array([0.0004, 0.0007, 0.0016, 0.0029]), 'D_scores': array([1305.2823,  706.991 ,  316.6071,  167.703 ])}",strong500,1
MY-small_mu,4,sigmoid,"{'gamma': 0.0016597722801344522, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016597722801344522)",0.5212121212121212,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.    , 0.    , 0.0024, 0.0058]), 'lambdas': array([0.    , 0.    , 0.0024, 0.0058]), 'D_scores': array([7.3183e+08, 3.7625e+08, 2.0899e+02, 8.3495e+01])}",strong500,1
KFDA-1D,1,linear,{},linear,0.5636363636363636,rbf,"{'C': 1.0, 'gamma': 0.5}","{'top_lambda': 0.9499428720167595, 'd_norm': 127.81014640757134}",strong500,2
KFDA-1D,1,rbf,{'gamma': 0.0016660665160696936},rbf(gamma=0.0016660665160696936),0.5878787878787879,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'top_lambda': 45315.9015709899, 'd_norm': 0.1893975841528692}",strong500,2
KFDA-1D,1,laplacian,{'gamma': 0.0016660665160696936},laplacian(gamma=0.0016660665160696936),0.5242424242424243,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'top_lambda': 43333.73371684031, 'd_norm': 0.13809335417876892}",strong500,2
KFDA-1D,1,polynomial,"{'degree': 2, 'gamma': 0.0016660665160696936, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016660665160696936)",0.5818181818181818,rbf,"{'C': 1.0, 'gamma': 0.5}","{'top_lambda': 31003.526089218172, 'd_norm': 0.6504092720888951}",strong500,2
KFDA-1D,1,sigmoid,"{'gamma': 0.0016660665160696936, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016660665160696936)",0.5,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'top_lambda': 0.9497391874885078, 'd_norm': 0.16630682060123997}",strong500,2
MY-large_mu,1,linear,{},linear,0.5575757575757576,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0002]), 'lambdas': array([0.0002]), 'gvals': array([2033.213])}",strong500,2
