index,regime,variant,r,mean,std,n_repeats
0,strong500,KFDA-1D,1,0.5287333333333334,0.031785741037976926,3
1,strong500,MY-large_mu,1,0.5710666666666667,0.00940283645148283,3
2,strong500,MY-large_mu,2,0.5753333333333334,0.008821186617079002,3
3,strong500,MY-large_mu,3,0.5667333333333334,0.012010550917145014,3
4,strong500,MY-large_mu,4,0.5785333333333333,0.005987765303795204,3
5,strong500,MY-small_mu,1,0.5168,0.014929166085217188,3
6,strong500,MY-small_mu,2,0.5188666666666667,0.013497160195142287,3
7,strong500,MY-small_mu,3,0.5198,0.015132745950421538,3
8,strong500,MY-small_mu,4,0.5332,0.00602328813855025,3
