regime,repeat,kernel,kernel_label,true_mean_gap_input,emp_mean_gap_input,true_cov_gap_input,emp_cov_gap_input,cov_gap_error_input,cov0_error_input,cov1_error_input,ref_D_mu_feature,emp_D_mu_feature,ref_D_sigma_feature,emp_D_sigma_feature,cov_gap_error_feature,cov0_error_feature,cov1_error_feature
weak500,1,linear,linear,1.0999999999999999,1.0999999999999999,3.7941668062492058,47.97418569052569,47.82572593549877,33.933734896113954,33.79014023600894,1.1000000000000003,1.1,22.76503991987876,47.90149753038853,52.76369635136483,37.41453448242907,37.30373922854798
weak500,1,rbf,rbf(gamma=0.0016300885579884508),1.0999999999999999,1.0999999999999999,3.7941668062492058,47.97418569052569,47.82572593549877,33.933734896113954,33.79014023600894,0.03224851761261726,0.0529018921270848,0.02259712692560709,0.047974476206009406,0.052953052852993156,0.03746753767274972,0.037440729600566776
weak500,1,laplacian,laplacian(gamma=0.0016300885579884508),1.0999999999999999,1.0999999999999999,3.7941668062492058,47.97418569052569,47.82572593549877,33.933734896113954,33.79014023600894,0.026311880446531447,0.043330713223703576,0.016849817511110476,0.035805651649597,0.03953075924709506,0.0279713054745462,0.02795286975018994
weak500,1,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0016300885579884508)",1.0999999999999999,1.0999999999999999,3.7941668062492058,47.97418569052569,47.82572593549877,33.933734896113954,33.79014023600894,0.07295131595235256,0.10020916059228809,0.08317727844033516,0.17499937125087797,0.19278274947975618,0.13664817979230623,0.13627637875042395
weak500,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.0016300885579884508)",1.0999999999999999,1.0999999999999999,3.7941668062492058,47.97418569052569,47.82572593549877,33.933734896113954,33.79014023600894,0.04435750823139335,0.04434224961903579,0.028405258582370488,0.05931214988398631,0.06518546420201325,0.0462787188536164,0.046119070470678585
weak500,2,linear,linear,1.0999999999999999,1.0999999999999999,3.7941668062492058,47.8954101666992,47.74253518463925,33.90972054053494,33.773857803162855,1.1000000000000003,1.1,22.76503991987876,47.82284136341634,52.711486199954734,37.408053410062166,37.28768657995498
weak500,2,rbf,rbf(gamma=0.0016301022593503127),1.0999999999999999,1.0999999999999999,3.7941668062492058,47.8954101666992,47.74253518463925,33.90972054053494,33.773857803162855,0.032248489187293394,0.05285401634806576,0.02259717783756302,0.04796828892315125,0.052951732330179635,0.03746360818169916,0.03744771203510274
weak500,2,laplacian,laplacian(gamma=0.0016301022593503127),1.0999999999999999,1.0999999999999999,3.7941668062492058,47.8954101666992,47.74253518463925,33.90972054053494,33.773857803162855,0.026311921628363422,0.04372787888646151,0.01684989451068927,0.035805696339422266,0.039535144973109844,0.027967470350225794,0.027957589246467598
weak500,2,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0016301022593503127)",1.0999999999999999,1.0999999999999999,3.7941668062492058,47.8954101666992,47.74253518463925,33.90972054053494,33.773857803162855,0.07295170187243062,0.10010996147594942,0.08317811800450922,0.1747462002433347,0.19261018664130344,0.13660148622750976,0.136229485564362
weak500,2,sigmoid,"sigmoid(coef0=0.0, gamma=0.0016301022593503127)",1.0999999999999999,1.0999999999999999,3.7941668062492058,47.8954101666992,47.74253518463925,33.90972054053494,33.773857803162855,0.04435769377324069,0.04434241945499155,0.02840539403326496,0.05916153633788934,0.06508764033552572,0.04630596068314792,0.046060728757376226
weak500,3,linear,linear,1.0999999999999999,1.1,3.7941668062492058,48.17913794771007,48.0273086574043,34.01572045210573,33.920182379828695,1.1000000000000003,1.1,22.76503991987876,48.10613925384991,52.914392379446944,37.48073266325263,37.47051508865641
weak500,3,rbf,rbf(gamma=0.0016257620854237117),1.0999999999999999,1.1,3.7941668062492058,48.17913794771007,48.0273086574043,34.01572045210573,33.920182379828695,0.032257462525192945,0.0529575116674359,0.022581010954524843,0.047999691431622755,0.05296337397547509,0.037467193288737585,0.03745614967247851
weak500,3,laplacian,laplacian(gamma=0.0016257620854237117),1.0999999999999999,1.1,3.7941668062492058,48.17913794771007,48.0273086574043,34.01572045210573,33.920182379828695,0.026298838228092047,0.04367573562695149,0.016825468936571063,0.03580609595892313,0.03952296084085501,0.027951185536005306,0.027955485303778862
weak500,3,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0016257620854237117)",1.0999999999999999,1.1,3.7941668062492058,48.17913794771007,48.0273086574043,34.01572045210573,33.920182379828695,0.07282941869280801,0.10025474253135806,0.0829123339374477,0.17514801677055733,0.19270742739712632,0.13652893412682174,0.13634622316764275
weak500,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.0016257620854237117)",1.0999999999999999,1.1,3.7941668062492058,48.17913794771007,48.0273086574043,34.01572045210573,33.920182379828695,0.04429887983677761,0.04428352592144753,0.028362407626812365,0.05952246447669525,0.06528577398858375,0.046230900123995625,0.046349964968624355
