task,class0,class1,rep,family,r,acc,kernel
CIFAR100: palm_tree vs train,palm_tree,train,0,KFDA,1,0.953125,laplacian
CIFAR100: palm_tree vs train,palm_tree,train,1,KFDA,1,0.90625,linear
