dataset,kernel,ref_D_sigma_feature,cov_gap_error_feature,ratio,ref_D_mu_feature
banana,linear,0.6078716773367726,0.14450690914424338,4.206523279312614,0.15744519156694314
banana,rbf,0.26629297297396887,0.04669460544122165,5.702863756053658,0.2684878628380156
banana,laplacian,0.18324663337183691,0.041971323161733416,4.36599610323719,0.2201840204165053
