dataset,kernel,ref_D_sigma_feature,cov_gap_error_feature,ratio,ref_D_mu_feature
diabetes,linear,4205.549644552306,9010.674654504974,0.4667297184511818,43.969935713472914
diabetes,rbf,0.11222133253127631,0.0643817865314129,1.7430602438551739,0.24864413176779404
diabetes,laplacian,0.001639362004487461,0.001482612914623605,1.1057248917217548,0.03588929546522167
