dataset,kernel,ref_D_sigma_feature,cov_gap_error_feature,ratio,ref_D_mu_feature
ringnorm,linear,11979746.62831735,2333391.08002957,5.134050065951883,1832.4292985730638
ringnorm,rbf,0.05792704257545028,0.036028086946826375,1.607830098249303,0.45987181098510815
ringnorm,laplacian,7.929777635972904e-05,3.456358826409533e-05,2.2942576376568984,0.009497125766921608
