dataset,kernel,ref_D_sigma_feature,cov_gap_error_feature,ratio,ref_D_mu_feature,label
banana,linear,0.6078716773367726,0.14450690914424338,4.206523279312614,0.15744519156694314,A
banana,rbf,0.26629297297396887,0.04669460544122165,5.702863756053658,0.2684878628380156,A
banana,laplacian,0.18324663337183691,0.041971323161733416,4.36599610323719,0.2201840204165053,A
ringnorm,linear,11979746.62831735,2333391.08002957,5.134050065951883,1832.4292985730638,B
ringnorm,rbf,0.05792704257545028,0.036028086946826375,1.607830098249303,0.45987181098510815,B
ringnorm,laplacian,7.929777635972904e-05,3.456358826409533e-05,2.2942576376568984,0.009497125766921608,B
diabetes,linear,4205.549644552306,9010.674654504974,0.4667297184511818,43.969935713472914,C
diabetes,rbf,0.11222133253127631,0.0643817865314129,1.7430602438551739,0.24864413176779404,C
diabetes,laplacian,0.001639362004487461,0.001482612914623605,1.1057248917217548,0.03588929546522167,C
