pair,class0,class1,rep,r,acc,probe_C,epochs
automobile vs truck,automobile,truck,0,24,0.9525,0.1,16
automobile vs truck,automobile,truck,1,24,0.9325,0.1,16
automobile vs truck,automobile,truck,2,24,0.9375,0.1,16
