variant,r,stage1_kernel,stage1_params,stage1_label,val_acc,best_svm_kernel,best_svm_params,diag,regime,repeat
MY-large_mu,3,sigmoid,"{'gamma': 0.0399566906617043, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0399566906617043)",0.7692307692307693,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.0002]), 'lambdas': array([0.    , 0.    , 0.0002]), 'gvals': array([6.8544e+09, 2.3042e+09, 3.1583e+03])}",same_mean_diff_covariance,1
MY-large_mu,4,linear,{},linear,0.7923076923076923,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0., 0., 0., 0.]), 'lambdas': array([0., 0., 0., 0.]), 'gvals': array([1.5980e+10, 1.0402e+10, 5.7405e+09, 5.1880e+09])}",same_mean_diff_covariance,1
MY-large_mu,4,rbf,{'gamma': 0.0399566906617043},rbf(gamma=0.0399566906617043),0.6153846153846154,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.0011, 0.0024, 0.0041, 0.005 ]), 'lambdas': array([0.0011, 0.0024, 0.0041, 0.005 ]), 'gvals': array([459.4114, 208.9454, 119.2879,  95.9841])}",same_mean_diff_covariance,1
MY-large_mu,4,laplacian,{'gamma': 0.0399566906617043},laplacian(gamma=0.0399566906617043),0.6307692307692307,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0004, 0.0017, 0.0032, 0.0053]), 'lambdas': array([0.0004, 0.0017, 0.0032, 0.0053]), 'gvals': array([1215.532 ,  294.6733,  151.7406,   91.9653])}",same_mean_diff_covariance,1
MY-large_mu,4,polynomial,"{'degree': 2, 'gamma': 0.0399566906617043, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0399566906617043)",0.6,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0021, 0.0116, 0.0185, 0.0251]), 'lambdas': array([0.0021, 0.0116, 0.0185, 0.0251]), 'gvals': array([234.0291,  40.2199,  24.4665,  17.5989])}",same_mean_diff_covariance,1
MY-large_mu,4,sigmoid,"{'gamma': 0.0399566906617043, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0399566906617043)",0.8,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0009, 0.0019, 0.0025]), 'lambdas': array([0.    , 0.0009, 0.0019, 0.0025]), 'gvals': array([6.1488e+08, 5.3560e+02, 2.5459e+02, 1.9952e+02])}",same_mean_diff_covariance,1
MY-large_mu,8,linear,{},linear,0.8076923076923077,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0., 0., 0., 0., 0., 0., 0., 0.]), 'lambdas': array([0., 0., 0., 0., 0., 0., 0., 0.]), 'gvals': array([5.1650e+10, 1.1584e+10, 6.1203e+09, 3.4317e+09, 3.2570e+09,
       2.3435e+09, 2.3392e+09, 2.0191e+09])}",same_mean_diff_covariance,1
MY-large_mu,8,rbf,{'gamma': 0.0399566906617043},rbf(gamma=0.0399566906617043),0.6461538461538462,rbf,"{'C': 2.0, 'gamma': 0.5}","{'thetas': array([0.0018, 0.0029, 0.0057, 0.0063, 0.008 , 0.0107, 0.012 , 0.0128]), 'lambdas': array([0.0018, 0.0029, 0.0057, 0.0063, 0.008 , 0.0107, 0.012 , 0.0128]), 'gvals': array([271.0837, 166.5933,  84.7187,  76.2486,  59.6555,  44.1619,
        38.8785,  36.2643])}",same_mean_diff_covariance,1
MY-large_mu,8,laplacian,{'gamma': 0.0399566906617043},laplacian(gamma=0.0399566906617043),0.5615384615384615,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0017, 0.0035, 0.0049, 0.006 , 0.0101, 0.0129, 0.0153, 0.0169]), 'lambdas': array([0.0017, 0.0035, 0.0049, 0.006 , 0.0101, 0.0129, 0.0153, 0.0169]), 'gvals': array([283.6575, 140.6407,  98.5559,  79.9692,  46.7286,  36.0839,
        30.0734,  27.0938])}",same_mean_diff_covariance,1
MY-large_mu,8,polynomial,"{'degree': 2, 'gamma': 0.0399566906617043, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0399566906617043)",0.7692307692307693,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.0019, 0.0071, 0.0128, 0.0201, 0.0264, 0.0337, 0.0462, 0.0512]), 'lambdas': array([0.0019, 0.0071, 0.0128, 0.0201, 0.0264, 0.0337, 0.0462, 0.0512]), 'gvals': array([257.1784,  67.5833,  36.2677,  22.4514,  16.6533,  12.6248,
         8.7809,   7.7719])}",same_mean_diff_covariance,1
MY-large_mu,8,sigmoid,"{'gamma': 0.0399566906617043, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0399566906617043)",0.6923076923076923,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.    , 0.    , 0.    , 0.0004, 0.0027, 0.003 , 0.0046]), 'lambdas': array([0.    , 0.    , 0.    , 0.    , 0.0004, 0.0027, 0.003 , 0.0046]), 'gvals': array([6.4666e+09, 4.4042e+09, 1.1728e+09, 9.0316e+08, 1.1285e+03,
       1.8030e+02, 1.6538e+02, 1.0455e+02])}",same_mean_diff_covariance,1
MY-large_mu,16,linear,{},linear,0.8923076923076924,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]), 'lambdas': array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.]), 'gvals': array([6.7280e+09, 6.0381e+09, 5.8962e+09, 4.1190e+09, 2.3806e+09,
       2.2281e+09, 1.5081e+09, 1.5078e+09, 1.3504e+09, 9.8733e+08,
       8.4298e+08, 6.0448e+08, 5.0755e+08, 4.2042e+08, 3.4725e+08,
       3.0493e+08])}",same_mean_diff_covariance,1
MY-large_mu,16,rbf,{'gamma': 0.0399566906617043},rbf(gamma=0.0399566906617043),0.6692307692307692,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.0035, 0.0039, 0.0072, 0.0084, 0.0103, 0.0113, 0.0119, 0.0139,
       0.0158, 0.0192, 0.0239, 0.0306, 0.0316, 0.0391, 0.0435, 0.0516]), 'lambdas': array([0.0035, 0.0039, 0.0072, 0.0084, 0.0103, 0.0113, 0.0119, 0.0139,
       0.0158, 0.0192, 0.0239, 0.0306, 0.0316, 0.0391, 0.0435, 0.0516]), 'gvals': array([139.318 , 125.7581,  66.0306,  56.6032,  45.9194,  41.5774,
        39.3541,  33.3968,  29.0533,  23.5952,  18.5337,  14.1   ,
        13.6127,  10.6755,   9.4237,   7.7135])}",same_mean_diff_covariance,1
MY-large_mu,16,laplacian,{'gamma': 0.0399566906617043},laplacian(gamma=0.0399566906617043),0.6846153846153846,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.0008, 0.002 , 0.0028, 0.0077, 0.0094, 0.0103, 0.0141, 0.0154,
       0.016 , 0.019 , 0.0199, 0.0235, 0.0258, 0.0317, 0.0358, 0.0372]), 'lambdas': array([0.0008, 0.002 , 0.0028, 0.0077, 0.0094, 0.0103, 0.0141, 0.0154,
       0.016 , 0.019 , 0.0199, 0.0235, 0.0258, 0.0317, 0.0358, 0.0372]), 'gvals': array([613.4318, 244.7161, 172.0415,  61.6478,  50.3242,  45.846 ,
        32.9108,  29.9659,  28.6042,  23.8912,  22.7079,  18.9195,
        17.0741,  13.548 ,  11.7848,  11.2788])}",same_mean_diff_covariance,1
MY-large_mu,16,polynomial,"{'degree': 2, 'gamma': 0.0399566906617043, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0399566906617043)",0.7923076923076923,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([      0.005 ,       0.0124,       0.0242,       0.0292,
             0.0331,       0.0389,       0.0507, 1282450.8447,
       1169454.2338,  632467.5691,  499312.2767,  424064.2167,
        365472.0084,       0.0653,       0.0668,  206907.2108]), 'lambdas': array([      0.005 ,       0.0124,       0.0242,       0.0292,
             0.0331,       0.0389,       0.0507, 1282450.8447,
       1169454.2338,  632467.5691,  499312.2767,  424064.2167,
        365472.0084,       0.0653,       0.0668,  206907.2108]), 'gvals': array([95.9891, 37.5517, 18.2796, 14.8555, 12.896 , 10.7376,  7.8712,
        6.5321,  6.486 ,  6.1787,  6.0605,  5.9788,  5.9045,  5.7971,
        5.6291,  5.62  ])}",same_mean_diff_covariance,1
MY-large_mu,16,sigmoid,"{'gamma': 0.0399566906617043, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0399566906617043)",0.7769230769230769,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([      0.    ,       0.    ,       0.0006,       0.0014,
             0.0026,       0.004 ,       0.0054,       0.0086,
             0.0116,       0.0145,       0.0179,       0.0247,
             0.0271,       0.0351,       0.0506, 5560464.2836]), 'lambdas': array([      0.    ,       0.    ,       0.0006,       0.0014,
             0.0026,       0.004 ,       0.0054,       0.0086,
             0.0116,       0.0145,       0.0179,       0.0247,
             0.0271,       0.0351,       0.0506, 5560464.2836]), 'gvals': array([5.9733e+09, 2.1266e+09, 8.2603e+02, 3.5091e+02, 1.8757e+02,
       1.2222e+02, 9.0151e+01, 5.5549e+01, 4.0372e+01, 3.1749e+01,
       2.5355e+01, 1.7862e+01, 1.6151e+01, 1.2077e+01, 7.8944e+00,
       7.2656e+00])}",same_mean_diff_covariance,1
MY-large_mu,32,linear,{},linear,0.8769230769230769,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([      0.    ,       0.    ,       0.    ,       0.    ,
             0.    ,       0.    ,       0.    ,       0.    ,
             0.    ,       0.    ,       0.    ,       0.    ,
             0.    ,       0.    ,       0.    ,       0.    ,
             0.    ,       0.    ,       0.    ,       0.    ,
             0.    ,       0.    ,       0.    ,       0.    ,
             0.    ,       0.    ,       0.    ,       0.    ,
             0.    ,       0.0507, 8262339.1018, 7548374.7607]), 'lambdas': array([      0.    ,       0.    ,       0.    ,       0.    ,
             0.    ,       0.    ,       0.    ,       0.    ,
             0.    ,       0.    ,       0.    ,       0.    ,
             0.    ,       0.    ,       0.    ,       0.    ,
             0.    ,       0.    ,       0.    ,       0.    ,
             0.    ,       0.    ,       0.    ,       0.    ,
             0.    ,       0.    ,       0.    ,       0.    ,
             0.    ,       0.0507, 8262339.1018, 7548374.7607]), 'gvals': array([2.0950e+11, 1.5791e+11, 2.9567e+10, 4.6814e+09, 2.9236e+09,
       2.4017e+09, 1.9179e+09, 1.7344e+09, 1.1602e+09, 1.0209e+09,
       9.7912e+08, 9.0374e+08, 8.8102e+08, 8.4232e+08, 6.7429e+08,
       6.7031e+08, 5.4112e+08, 4.6697e+08, 4.1855e+08, 3.8753e+08,
       3.8650e+08, 2.7456e+08, 2.4941e+08, 2.4613e+08, 2.3895e+08,
       1.8095e+08, 1.4258e+08, 1.1570e+08, 7.9544e+07, 7.8644e+00,
       7.4636e+00, 7.4184e+00])}",same_mean_diff_covariance,1
MY-large_mu,32,rbf,{'gamma': 0.0399566906617043},rbf(gamma=0.0399566906617043),0.7615384615384615,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([      0.0018,       0.003 ,       0.0032,       0.0055,
             0.0074,       0.0082,       0.0134,       0.0169,
             0.0182,       0.0202,       0.0226,       0.0245,
             0.0292,       0.0342,       0.04  ,       0.0522,
       6626862.5492,       0.0542, 1931985.1881, 1161385.8688,
        953917.2832,  797784.5688,       0.0617,  634914.3615,
        510831.6796,  502712.6921,  416475.7655,  361880.3509,
        357358.4754,       0.0644,  336134.347 ,  306593.2729]), 'lambdas': array([      0.0018,       0.003 ,       0.0032,       0.0055,
             0.0074,       0.0082,       0.0134,       0.0169,
             0.0182,       0.0202,       0.0226,       0.0245,
             0.0292,       0.0342,       0.04  ,       0.0522,
       6626862.5492,       0.0542, 1931985.1881, 1161385.8688,
        953917.2832,  797784.5688,       0.0617,  634914.3615,
        510831.6796,  502712.6921,  416475.7655,  361880.3509,
        357358.4754,       0.0644,  336134.347 ,  306593.2729]), 'gvals': array([276.8958, 163.5138, 151.2082,  88.4538,  64.1785,  57.91  ,
        34.6175,  27.0791,  24.9297,  22.3424,  19.7487,  18.0369,
        14.8809,  12.4123,  10.3873,   7.5974,   7.3533,   7.2687,
         6.737 ,   6.4826,   6.3842,   6.2948,   6.2112,   6.1806,
         6.0719,   6.0639,   5.9698,   5.8995,   5.8932,   5.8881,
         5.8626,   5.8166])}",same_mean_diff_covariance,1
MY-large_mu,32,laplacian,{'gamma': 0.0399566906617043},laplacian(gamma=0.0399566906617043),0.7692307692307693,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([      0.001 ,       0.0025,       0.0075,       0.0084,
             0.0093,       0.0118,       0.0151,       0.0181,
             0.0212,       0.0246,       0.0259,       0.0336,
             0.0358,       0.0415,       0.05  ,       0.0558,
       2193270.5089,       0.0609,  289911.4489,       0.0663,
        173009.8915,  140929.5473,  121559.9232,  103593.9313,
         79778.2157,   73367.685 ,   68147.9848,   63878.7049,
         55987.0598,   50345.5035,   45394.9002,   44713.0027]), 'lambdas': array([      0.001 ,       0.0025,       0.0075,       0.0084,
             0.0093,       0.0118,       0.0151,       0.0181,
             0.0212,       0.0246,       0.0259,       0.0336,
             0.0358,       0.0415,       0.05  ,       0.0558,
       2193270.5089,       0.0609,  289911.4489,       0.0663,
        173009.8915,  140929.5473,  121559.9232,  103593.9313,
         79778.2157,   73367.685 ,   68147.9848,   63878.7049,
         55987.0598,   50345.5035,   45394.9002,   44713.0027]), 'gvals': array([482.9598, 195.0695,  63.4505,  56.4145,  51.1546,  39.7603,
        30.5515,  25.1268,  21.1975,  17.9327,  16.9846,  12.6829,
        11.7832,   9.9509,   8.0033,   7.0145,   6.8005,   6.3106,
         5.7887,   5.688 ,   5.5306,   5.428 ,   5.3541,   5.2741,
         5.1435,   5.1016,   5.0647,   5.0324,   4.9664,   4.9133,
         4.8616,   4.854 ])}",same_mean_diff_covariance,1
MY-large_mu,32,polynomial,"{'degree': 2, 'gamma': 0.0399566906617043, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0399566906617043)",0.8,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([      0.0052,       0.0169,       0.0188,       0.0264,
             0.0292,       0.032 ,       0.0502,       0.0539,
       1560545.5337, 1257854.1591,       0.06  ,  919074.5146,
        570003.0788,  441865.3549,  307465.7136,  198011.3026,
        185461.7563,  159803.2639,  126987.4509,  117354.7957,
         93448.9436,   90882.2913,   66615.4266,   60434.0068,
         49073.0552,   37823.7278,   35806.9848,   33010.7216,
         31967.355 ,   28221.6148,   20775.74  ,   15534.4635]), 'lambdas': array([      0.0052,       0.0169,       0.0188,       0.0264,
             0.0292,       0.032 ,       0.0502,       0.0539,
       1560545.5337, 1257854.1591,       0.06  ,  919074.5146,
        570003.0788,  441865.3549,  307465.7136,  198011.3026,
        185461.7563,  159803.2639,  126987.4509,  117354.7957,
         93448.9436,   90882.2913,   66615.4266,   60434.0068,
         49073.0552,   37823.7278,   35806.9848,   33010.7216,
         31967.355 ,   28221.6148,   20775.74  ,   15534.4635]), 'gvals': array([93.8602, 27.1282, 24.1015, 16.6541, 14.855 , 13.3825,  7.963 ,
        7.3142,  6.6303,  6.5225,  6.4277,  6.3656,  6.1267,  5.9994,
        5.8181,  5.598 ,  5.5653,  5.4909,  5.3759,  5.3365,  5.2226,
        5.2087,  5.0534,  5.0047,  4.9005,  4.7704,  4.743 ,  4.7023,
        4.6863,  4.6239,  4.4708,  4.3254])}",same_mean_diff_covariance,1
MY-large_mu,32,sigmoid,"{'gamma': 0.0399566906617043, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0399566906617043)",0.8307692307692308,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([      0.    ,       0.    ,       0.    ,       0.0008,
             0.0022,       0.0033,       0.0061,       0.0064,
             0.0105,       0.0133,       0.0145,       0.0212,
             0.026 ,       0.0338,       0.0374,       0.0437,
       5915050.8205, 5273371.1844, 2348636.1579, 2045903.812 ,
       1651928.7934,       0.0592,  907006.5382,  854951.0156,
        696061.6283,  647461.7682,  433915.5561,       0.0643,
        229909.2436,  190620.4367,  173423.6493,  123865.4849]), 'lambdas': array([      0.    ,       0.    ,       0.    ,       0.0008,
             0.0022,       0.0033,       0.0061,       0.0064,
             0.0105,       0.0133,       0.0145,       0.0212,
             0.026 ,       0.0338,       0.0374,       0.0437,
       5915050.8205, 5273371.1844, 2348636.1579, 2045903.812 ,
       1651928.7934,       0.0592,  907006.5382,  854951.0156,
        696061.6283,  647461.7682,  433915.5561,       0.0643,
        229909.2436,  190620.4367,  173423.6493,  123865.4849]), 'gvals': array([1.5506e+09, 1.2616e+09, 9.0221e+08, 6.0366e+02, 2.2399e+02,
       1.5009e+02, 7.8905e+01, 7.5146e+01, 4.4926e+01, 3.4981e+01,
       3.1932e+01, 2.1184e+01, 1.6918e+01, 1.2609e+01, 1.1232e+01,
       9.3686e+00, 7.2965e+00, 7.2391e+00, 6.8347e+00, 6.7657e+00,
       6.6587e+00, 6.5391e+00, 6.3590e+00, 6.3294e+00, 6.2266e+00,
       6.1904e+00, 5.9903e+00, 5.8989e+00, 5.6727e+00, 5.5790e+00,
       5.5317e+00, 5.3635e+00])}",same_mean_diff_covariance,1
