index,regime,variant,r,validation_seconds_mean,validation_seconds_std,n_repeats,refit_seconds_mean,refit_seconds_std,total_seconds_mean,total_seconds_std
0,diff_mean_diff_covariance,KFDA-1D,1,0.2731604029734929,0.01285485696767966,3,0.08193306931449722,0.005315656564410993,0.35509386099874973,0.015930938493525622
1,diff_mean_diff_covariance,MY-large_mu,1,0.3621639443639045,0.024917730944936937,3,0.14708777769313505,0.020929180626977347,0.5092520553541059,0.036989707267024795
2,diff_mean_diff_covariance,MY-large_mu,2,0.35093479165031266,0.004204496009739844,3,0.12462159700226039,0.0040610347750892695,0.4755566530317689,0.005971929011563537
3,diff_mean_diff_covariance,MY-large_mu,3,0.35413448566881317,0.0021235662336270204,3,0.12939358331883946,0.001913218438373973,0.4835283469874412,0.0024707103085515134
4,diff_mean_diff_covariance,MY-large_mu,4,0.36195383364489925,0.0045348549143449796,3,0.1268967360180492,0.01116720975665238,0.48885080598605174,0.015085828290327993
5,diff_mean_diff_covariance,MY-large_mu,5,0.3718849450039367,0.010634383824154174,3,0.13744401407893747,0.004575803752388419,0.5093292503152043,0.006477849534154547
6,diff_mean_diff_covariance,MY-large_mu,6,0.3823326809797436,0.007143075771779498,3,0.12856980533494303,0.0023206813133032,0.5109027503058314,0.006714054201170272
7,diff_mean_diff_covariance,MY-large_mu,7,0.4052607500149558,0.01678219698442871,3,0.1358792083337903,0.006841258466440358,0.5411403473311415,0.01424880075056622
8,diff_mean_diff_covariance,MY-large_mu,8,0.42643544434880215,0.017774847453192442,3,0.14948663872200996,0.014175529124993804,0.5759223053464666,0.02594452871860791
9,diff_mean_diff_covariance,MY-large_mu,10,0.4308870140230283,0.009420710395797881,3,0.16077790265747657,0.0015705958062589237,0.5916651946802934,0.007873314033547029
10,diff_mean_diff_covariance,MY-large_mu,12,0.4633704307101046,0.013930323322863295,3,0.172216667017589,0.023892039033974705,0.6355874026970317,0.03753460000161492
11,diff_mean_diff_covariance,MY-large_mu,14,0.5012312500039116,0.030896941831390315,3,0.19258836101895818,0.01729235367123511,0.6938197496347129,0.048154212995356084
12,diff_mean_diff_covariance,MY-large_mu,16,0.5235944999925172,0.006601080368928002,3,0.17976686137262732,0.007376946768372795,0.7033615969897559,0.005120617096975175
13,diff_mean_diff_covariance,MY-large_mu,20,0.567313985976701,0.008887646404240912,3,0.1916655416910847,0.011170308276995946,0.7589797916589305,0.010545645987110774
14,diff_mean_diff_covariance,MY-small_mu,1,0.3666668333268414,0.009052769243997035,3,0.14417012536432594,0.016502359481429987,0.5108372223718712,0.024957068556224617
15,diff_mean_diff_covariance,MY-small_mu,2,0.3664865276853864,0.007959383323104757,3,0.13745456968899816,0.012959358518795167,0.5039413469688346,0.020902297485198305
16,diff_mean_diff_covariance,MY-small_mu,3,0.3621261663114031,0.013353839048911954,3,0.13121777796186507,0.008046618240055689,0.4933442500187084,0.021315202728991883
17,diff_mean_diff_covariance,MY-small_mu,4,0.368744264356792,0.007823016329549947,3,0.13435708362764368,0.0055790887548299644,0.5031015280401334,0.013278974700193465
18,diff_mean_diff_covariance,MY-small_mu,5,0.38601780535342795,0.007483297105328864,3,0.1321241803234443,0.008756591563184674,0.5181423333318284,0.010639499925824802
19,diff_mean_diff_covariance,MY-small_mu,6,0.3936898889951408,0.016066679158504533,3,0.14701470833582184,0.01351773256106597,0.5407050279900432,0.011517681042221114
20,diff_mean_diff_covariance,MY-small_mu,7,0.4056133886333555,0.0020934282581570674,3,0.1362440416511769,0.0167244252073642,0.5418577496505653,0.017776111138702276
21,diff_mean_diff_covariance,MY-small_mu,8,0.42528899999645847,0.012173147146711276,3,0.14457431932290396,0.01260110941543516,0.5698635973191509,0.019218856752424518
22,diff_mean_diff_covariance,MY-small_mu,10,0.45360783336218446,0.008525303339591546,3,0.158029680683588,0.004356007423789291,0.6116378329849491,0.01274731760056604
23,diff_mean_diff_covariance,MY-small_mu,12,0.4859666113431255,0.036548474870837004,3,0.17598087534618875,0.007118966973752201,0.661947708344087,0.02992982233444204
24,diff_mean_diff_covariance,MY-small_mu,14,0.494449625024572,0.005222755462729257,3,0.18682162537394711,0.001532212566432405,0.6812715416696543,0.003691192443547437
25,diff_mean_diff_covariance,MY-small_mu,16,0.5184892773395404,0.03220268730279879,3,0.18772937497124076,0.021764983344747406,0.7062188469960043,0.03253220342146042
26,diff_mean_diff_covariance,MY-small_mu,20,0.5555522079812363,0.015967276026241425,3,0.2120089166564867,0.036048049500695706,0.7675613473402336,0.03096529411851832
27,diff_mean_tiny_covariance_gap,KFDA-1D,1,0.19918719465689114,0.0030945748740519308,3,0.0755258333326007,0.017120529688021968,0.27471329167019576,0.014579301997511365
28,diff_mean_tiny_covariance_gap,MY-large_mu,1,0.2537611803272739,0.011269723774722639,3,0.11405119400781889,0.013038753139635784,0.3678126666539659,0.021422821243214943
29,diff_mean_tiny_covariance_gap,MY-large_mu,2,0.2571877083197857,0.0060618286227072035,3,0.10208155564032495,0.001501648377155816,0.3592695837141946,0.006150921228373264
30,diff_mean_tiny_covariance_gap,MY-large_mu,3,0.25955372229994583,0.011523674844655349,3,0.1059243610361591,0.015437226965475578,0.3654784026633327,0.017937431283221904
31,diff_mean_tiny_covariance_gap,MY-large_mu,4,0.26976118034993607,0.0022857459100453364,3,0.1108917083280782,0.004462604554672984,0.3806531803372006,0.006541778502637573
32,diff_mean_tiny_covariance_gap,MY-large_mu,5,0.26873620801294845,0.008191540751200705,3,0.10338599999280025,0.003955026243600099,0.37212254165206105,0.008266266941153008
33,diff_mean_tiny_covariance_gap,MY-large_mu,6,0.2832289856548111,0.0026143072954146833,3,0.1092912913300097,0.00766931938320122,0.3925205416744575,0.009366365098609067
34,diff_mean_tiny_covariance_gap,MY-large_mu,7,0.2935784586394827,0.0032711654759564716,3,0.10975548632753392,0.008790239668641524,0.40333430597092956,0.0056850780484871116
35,diff_mean_tiny_covariance_gap,MY-large_mu,8,0.2882812919948871,0.005013866481970368,3,0.1228134169941768,0.015272387433656274,0.4110950280058508,0.019617928256102965
36,diff_mean_tiny_covariance_gap,MY-large_mu,10,0.3184538329951465,0.018369026980915467,3,0.13372319467210522,0.008819162837645602,0.45217731936524314,0.010248157117203286
37,diff_mean_tiny_covariance_gap,MY-large_mu,12,0.3432795969614138,0.016134135877094516,3,0.1364663886682441,0.0075216065891538335,0.47974631931477535,0.015376998134361197
38,diff_mean_tiny_covariance_gap,MY-large_mu,14,0.34768588868125033,0.011705488072449173,3,0.1349389443251615,0.0014572659113919813,0.4826250273811941,0.012339170072847324
39,diff_mean_tiny_covariance_gap,MY-large_mu,16,0.3673234856687486,0.011821668279862535,3,0.1329544443093861,0.004762266338831252,0.5002782220253721,0.0074141206860315004
40,diff_mean_tiny_covariance_gap,MY-large_mu,20,0.3925718473425756,0.019865865571557388,3,0.1634383056856071,0.010888826346106724,0.5560104306787252,0.009094871480330361
41,diff_mean_tiny_covariance_gap,MY-small_mu,1,0.2601372083105768,0.008140798263662137,3,0.10581927765936901,0.011051062741841845,0.3659568193058173,0.013699678400909455
42,diff_mean_tiny_covariance_gap,MY-small_mu,2,0.26460018067155033,0.01752140623023634,3,0.1177947917021811,0.008480231774628935,0.3823952776535104,0.025076451434755877
43,diff_mean_tiny_covariance_gap,MY-small_mu,3,0.2661942640164246,0.009308482740866968,3,0.10424018065289904,0.006753105841224338,0.37043470800078165,0.00995119721763339
44,diff_mean_tiny_covariance_gap,MY-small_mu,4,0.2680946526816115,0.005084257586658423,3,0.11418320797383785,0.003612531501299894,0.3822781390044838,0.005987775779529094
45,diff_mean_tiny_covariance_gap,MY-small_mu,5,0.2780506806836153,0.00591289631942082,3,0.10423273600948353,0.009849949263875231,0.3822838193348919,0.01571585762972799
46,diff_mean_tiny_covariance_gap,MY-small_mu,6,0.2843612916767597,0.005386530379693322,3,0.11179163892908643,0.012056147715267721,0.396153249971879,0.016651172275339198
47,diff_mean_tiny_covariance_gap,MY-small_mu,7,0.2981139860348776,0.013820738064268987,3,0.12242115234645705,0.0063451328266141355,0.4205355830490589,0.007590234987289151
48,diff_mean_tiny_covariance_gap,MY-small_mu,8,0.3030576389670993,0.013486933192652645,3,0.12234677836143722,0.006109700301651129,0.42540483297004056,0.015747474236704147
49,diff_mean_tiny_covariance_gap,MY-small_mu,10,0.31977024965453893,0.005689006442966367,3,0.1316782080102712,0.009193188121651373,0.45144863865183044,0.014622730920426355
50,diff_mean_tiny_covariance_gap,MY-small_mu,12,0.3346995417183886,0.007415966719034907,3,0.13992776399633536,0.007579142233242063,0.47462758305482566,0.01457470979573954
51,diff_mean_tiny_covariance_gap,MY-small_mu,14,0.359515930681179,0.01710749858269933,3,0.13942770834546536,0.006292126337674052,0.49894405563827604,0.017542246723242314
52,diff_mean_tiny_covariance_gap,MY-small_mu,16,0.3748457219917327,0.012694643917243856,3,0.16255138899820545,0.00805623218357808,0.5373974996618927,0.011740600092204657
53,diff_mean_tiny_covariance_gap,MY-small_mu,20,0.4090876249829307,0.007072044078625703,3,0.1536264723787705,0.008399590246646155,0.5627146113353471,0.013481614890135576
54,same_mean_diff_covariance,KFDA-1D,1,0.4233764027012512,0.008888222146978982,3,0.1301739860403662,0.019064728157838495,0.5535507223103195,0.013489486162923659
