regime,kernel,kernel_label,true_mean_gap_input,emp_mean_gap_input,true_cov_gap_input,emp_cov_gap_input,cov_gap_error_input,cov0_error_input,cov1_error_input,ref_D_mu_feature,emp_D_mu_feature,ref_D_sigma_feature,emp_D_sigma_feature,cov_gap_error_feature,cov0_error_feature,cov1_error_feature
diff_mean_diff_covariance,laplacian,laplacian(gamma=0.006878860626515152),0.9000000000000001,0.9,12.304492524612725,23.292683088969373,19.77406906650767,13.984011523474896,13.97033941292428,0.049664896493245146,0.07978707815362518,0.029345339292838637,0.06400888133956727,0.06677637093897548,0.04726046316181594,0.04717518985305057
diff_mean_diff_covariance,linear,linear,0.9000000000000001,0.9,12.304492524612725,23.292683088969373,19.77406906650767,13.984011523474896,13.97033941292428,0.8999999999999998,0.9,14.862067262223665,23.186807256746786,21.160201622739383,14.943622908715412,14.938728051453646
diff_mean_diff_covariance,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.006878860626515152)",0.9000000000000001,0.9,12.304492524612725,23.292683088969373,19.77406906650767,13.984011523474896,13.97033941292428,0.14695428960661383,0.19126846671271913,0.2145474372438148,0.35115571517595906,0.32980604520831275,0.2322735692233478,0.23361766321546082
diff_mean_diff_covariance,rbf,rbf(gamma=0.006878860626515152),0.9000000000000001,0.9,12.304492524612725,23.292683088969373,19.77406906650767,13.984011523474896,13.97033941292428,0.06698209813860434,0.10025141363106897,0.04079199654745299,0.08596625492374477,0.08882934206512284,0.06282899183563265,0.06266516446613271
diff_mean_diff_covariance,sigmoid,"sigmoid(coef0=0.0, gamma=0.006878860626515152)",0.9000000000000001,0.9,12.304492524612725,23.292683088969373,19.77406906650767,13.984011523474896,13.97033941292428,0.074212877638826,0.07413595210158318,0.09354146660109479,0.12978874482492012,0.10786286345966654,0.07656501774773442,0.07559104262662954
diff_mean_tiny_covariance_gap,laplacian,laplacian(gamma=0.007034772751238761),1.1000000000000003,1.1000000000000003,1.9441827988465934,22.77246307253866,22.656228017962473,15.976235855922495,16.002623041343334,0.04797782428972185,0.0891587488193179,0.02504226370957832,0.0732684200341236,0.07728395688773876,0.05469359905158455,0.05451930341571956
diff_mean_tiny_covariance_gap,linear,linear,1.1000000000000003,1.1000000000000003,1.9441827988465934,22.77246307253866,22.656228017962473,15.976235855922495,16.002623041343334,1.1000000000000003,1.1,7.883800231100654,22.630135178335294,23.83193502556414,16.771992413849755,16.787143763639946
diff_mean_tiny_covariance_gap,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.007034772751238761)",1.1000000000000003,1.1000000000000003,1.9441827988465934,22.77246307253866,22.656228017962473,15.976235855922495,16.002623041343334,0.1417746242342567,0.2058351479905667,0.12699927455372206,0.3597306915395751,0.37812057091444884,0.2663303086342016,0.2665937899140237
diff_mean_tiny_covariance_gap,rbf,rbf(gamma=0.007034772751238761),1.1000000000000003,1.1000000000000003,1.9441827988465934,22.77246307253866,22.656228017962473,15.976235855922495,16.002623041343334,0.05847208718693512,0.10756252096209282,0.03341090294705914,0.09702492421768638,0.10224118846094267,0.07230932725720593,0.07212607359345907
diff_mean_tiny_covariance_gap,sigmoid,"sigmoid(coef0=0.0, gamma=0.007034772751238761)",1.1000000000000003,1.1000000000000003,1.9441827988465934,22.77246307253866,22.656228017962473,15.976235855922495,16.002623041343334,0.09180587046989672,0.0916626061617185,0.04247490864534929,0.11945730091461486,0.12559289746836008,0.08810734603051618,0.08822334963050482
same_mean_diff_covariance,laplacian,laplacian(gamma=0.005990292952981424),0.0,4.3180844445033153e-16,15.745058964068054,25.96947570869051,20.803891222922427,14.682789938139608,14.81607345583803,0.04041875243111267,0.066354808995338,0.029486529935393465,0.05748205205158241,0.05984582540350717,0.042325371285309325,0.04236624448327235
same_mean_diff_covariance,linear,linear,0.0,4.3180844445033153e-16,15.745058964068054,25.96947570869051,20.803891222922427,14.682789938139608,14.81607345583803,0.0,2.8997913325459952e-09,18.535432789571193,25.869593109810932,22.689876803394387,15.933124721685799,16.259061794287447
same_mean_diff_covariance,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.005990292952981424)",0.0,4.3180844445033153e-16,15.745058964068054,25.96947570869051,20.803891222922427,14.682789938139608,14.81607345583803,0.11103267241982667,0.1549664413021952,0.23069835532070468,0.33775039837784165,0.30796846431992586,0.21521491487405967,0.22143341858440252
same_mean_diff_covariance,rbf,rbf(gamma=0.005990292952981424),0.0,4.3180844445033153e-16,15.745058964068054,25.96947570869051,20.803891222922427,14.682789938139608,14.81607345583803,0.058281749830122895,0.0883894916130349,0.042179474762182645,0.08021616259839488,0.08270027680894443,0.058463131814578635,0.05858326405445375
same_mean_diff_covariance,sigmoid,"sigmoid(coef0=0.0, gamma=0.005990292952981424)",0.0,4.3180844445033153e-16,15.745058964068054,25.96947570869051,20.803891222922427,14.682789938139608,14.81607345583803,1.2135669856190022e-10,0.0,0.1023137983031314,0.12864626914680316,0.10057439406168028,0.07128072848050594,0.07171919109381758
