regime,variant,r,stage1_kernel,stage1_label,n_selected
same_mean_diff_covariance,MY-small_mu,1,linear,linear,1
same_mean_diff_covariance,MY-small_mu,2,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.006025219876792925)",1
same_mean_diff_covariance,MY-small_mu,3,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.006025219876792925)",1
same_mean_diff_covariance,MY-small_mu,4,rbf,rbf(gamma=0.006025219876792925),1
same_mean_diff_covariance,MY-small_mu,6,linear,linear,1
same_mean_diff_covariance,MY-small_mu,8,linear,linear,1
same_mean_diff_covariance,MY-small_mu,10,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.006025219876792925)",1
same_mean_diff_covariance,MY-small_mu,12,linear,linear,1
same_mean_diff_covariance,MY-small_mu,16,linear,linear,1
same_mean_diff_covariance,MY-small_mu,24,linear,linear,1
same_mean_diff_covariance,MY-small_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.006025219876792925)",1
