regime,rep,kernel,true_mean_gap_input,emp_mean_gap_input,true_cov_gap_input,emp_cov_gap_input,cov_gap_error_input,cov0_error_input,cov1_error_input,ref_D_mu_feature,emp_D_mu_feature,ref_D_sigma_feature,emp_D_sigma_feature,cov_gap_error_feature,cov0_error_feature,cov1_error_feature
same_mean_diff_covariance,0,linear,0.0,1.6874944905641508e-16,5.894205463541342,6.873127661872182,3.3741557222051894,2.2555785921156626,2.343502485373182,0.0,1.4768310151106034e-09,6.147516004724156,6.846692555480365,3.50302000845255,2.465043190762872,2.3465526676816837
same_mean_diff_covariance,0,rbf,0.0,1.6874944905641508e-16,5.894205463541342,6.873127661872182,3.3741557222051894,2.2555785921156626,2.343502485373182,0.10635617340042638,0.1274198222030597,0.07172478904970618,0.09959231901088528,0.07930831914915273,0.05616399171587258,0.05581960711862119
same_mean_diff_covariance,0,laplacian,0.0,1.6874944905641508e-16,5.894205463541342,6.873127661872182,3.3741557222051894,2.2555785921156626,2.343502485373182,0.07370904279797315,0.09441250214317005,0.045790460657677334,0.06908287945007276,0.06032743644051128,0.042502755480315006,0.04228685983212805
same_mean_diff_covariance,0,polynomial,0.0,1.6874944905641508e-16,5.894205463541342,6.873127661872182,3.3741557222051894,2.2555785921156626,2.343502485373182,0.24167032310947723,0.26915625772144086,0.5151161223478095,0.5872581863085592,0.3449695824799555,0.2320783119225118,0.2446495456323492
same_mean_diff_covariance,0,sigmoid,0.0,1.6874944905641508e-16,5.894205463541342,6.873127661872182,3.3741557222051894,2.2555785921156626,2.343502485373182,1.8496755188046572e-10,0.0,0.1977144592906377,0.21568153903215115,0.08524224425650218,0.06465065816994826,0.05036741767866402
same_mean_diff_covariance,1,linear,0.0,1.1419270774183226e-16,5.894205463541342,6.674449895592127,3.076962114875045,2.3983581889517964,2.161634324486113,0.0,3.3142090519577173e-09,6.147516004724156,6.648778934455232,3.513998286721106,2.7527685559657726,2.551888775548262
same_mean_diff_covariance,1,rbf,0.0,1.1419270774183226e-16,5.894205463541342,6.674449895592127,3.076962114875045,2.3983581889517964,2.161634324486113,0.10635617340042638,0.13154814023999228,0.07172478904970618,0.1018583104126058,0.07948801925222708,0.05866441134106874,0.054895326559720535
same_mean_diff_covariance,1,laplacian,0.0,1.1419270774183226e-16,5.894205463541342,6.674449895592127,3.076962114875045,2.3983581889517964,2.161634324486113,0.07370904279797315,0.0919632697174241,0.045790460657677334,0.06954901176265749,0.060620518949844146,0.044158243131793444,0.041927818004803524
same_mean_diff_covariance,1,polynomial,0.0,1.1419270774183226e-16,5.894205463541342,6.674449895592127,3.076962114875045,2.3983581889517964,2.161634324486113,0.24167032310947723,0.26137590404620686,0.5151161223478095,0.569591292440504,0.3417361721962255,0.2496843013839462,0.2555809366425704
same_mean_diff_covariance,1,sigmoid,0.0,1.1419270774183226e-16,5.894205463541342,6.674449895592127,3.076962114875045,2.3983581889517964,2.161634324486113,1.8496755188046572e-10,6.433273829131071e-10,0.1977144592906377,0.21218346178102898,0.08769797782843655,0.07807774852381698,0.06158716171630396
same_mean_diff_covariance,2,linear,0.0,1.3896593223550545e-16,5.894205463541342,7.108780899529834,3.2047501474777644,2.161068390087708,2.4144819875868038,0.0,0.0,6.147516004724156,7.081439434531642,3.5100001119396818,2.2955631157579326,2.745862925597616
same_mean_diff_covariance,2,rbf,0.0,1.3896593223550545e-16,5.894205463541342,7.108780899529834,3.2047501474777644,2.161068390087708,2.4144819875868038,0.10635617340042638,0.12927119169976728,0.07172478904970618,0.09968897079334108,0.08041397803242292,0.05594976196899479,0.057378211606552966
same_mean_diff_covariance,2,laplacian,0.0,1.3896593223550545e-16,5.894205463541342,7.108780899529834,3.2047501474777644,2.161068390087708,2.4144819875868038,0.07370904279797315,0.09657481443948655,0.045790460657677334,0.06852538970754103,0.06024448135787198,0.04246279589850138,0.04277265284293101
