regime,kernel,kernel_label,true_mean_gap_input,emp_mean_gap_input,true_cov_gap_input,emp_cov_gap_input,cov_gap_error_input,cov0_error_input,cov1_error_input,ref_D_mu_feature,emp_D_mu_feature,ref_D_sigma_feature,emp_D_sigma_feature,cov_gap_error_feature,cov0_error_feature,cov1_error_feature
oldstyle_diff_mean_scale_gap,laplacian,laplacian(gamma=0.0029467732955034747),0.35999999999999993,0.36000000000000004,38.45015200988107,47.10688264676655,27.871328115360605,11.9285446700003,25.142085972177128,0.15953101354514063,0.1623157360585571,0.023735760630422136,0.03751822526575873,0.036458777697097565,0.022715216231923407,0.02853823228542929
oldstyle_diff_mean_scale_gap,linear,linear,0.35999999999999993,0.36000000000000004,38.45015200988107,47.10688264676655,27.871328115360605,11.9285446700003,25.142085972177128,0.3599999999999998,0.36000000000000004,40.67051704218538,47.03550858215024,30.885005024743602,13.094374324493264,27.989090573998187
oldstyle_diff_mean_scale_gap,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0029467732955034747)",0.35999999999999993,0.36000000000000004,38.45015200988107,47.10688264676655,27.871328115360605,11.9285446700003,25.142085972177128,0.12299210364341903,0.141331489335533,0.24648948170547208,0.2988524886529599,0.2185533857239188,0.08136652695165424,0.20292655032092471
oldstyle_diff_mean_scale_gap,rbf,rbf(gamma=0.0029467732955034747),0.35999999999999993,0.36000000000000004,38.45015200988107,47.10688264676655,27.871328115360605,11.9285446700003,25.142085972177128,0.27647219527785133,0.27871604632913266,0.0365264915353351,0.05478842483072375,0.05116368445965833,0.03184698402221739,0.040069872260081664
oldstyle_diff_mean_scale_gap,sigmoid,"sigmoid(coef0=0.0, gamma=0.0029467732955034747)",0.35999999999999993,0.36000000000000004,38.45015200988107,47.10688264676655,27.871328115360605,11.9285446700003,25.142085972177128,0.019471022424104267,0.01946644098644434,0.11395585798711559,0.12241384867272934,0.06115142849025866,0.033671097594006556,0.05112476219889841
oldstyle_same_mean_scale_gap,laplacian,laplacian(gamma=0.0026367528210539896),0.0,7.263496259005634e-16,45.50369373450432,55.16864392990745,31.722787977355214,11.952338052322188,29.45025384419489,0.18537530467548555,0.18762437432030615,0.02348581001017209,0.036499027167996,0.03506909097056439,0.021102347352349678,0.027992277231305256
oldstyle_same_mean_scale_gap,linear,linear,0.0,7.263496259005634e-16,45.50369373450432,55.16864392990745,31.722787977355214,11.952338052322188,29.45025384419489,0.0,0.0,48.008592819639865,55.08505507546819,35.284538685398644,13.119482412090125,32.78713806133961
oldstyle_same_mean_scale_gap,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0026367528210539896)",0.0,7.263496259005634e-16,45.50369373450432,55.16864392990745,31.722787977355214,11.952338052322188,29.45025384419489,0.1265867925520095,0.14524567436815491,0.2607849970352976,0.31485870071384775,0.22789070680762885,0.07222002630337962,0.21628050610811894
oldstyle_same_mean_scale_gap,rbf,rbf(gamma=0.0026367528210539896),0.0,7.263496259005634e-16,45.50369373450432,55.16864392990745,31.722787977355214,11.952338052322188,29.45025384419489,0.3274148718156348,0.3291122763451563,0.037060210381135265,0.05477450577459255,0.05055591528211437,0.03041105791746037,0.04040396119145436
oldstyle_same_mean_scale_gap,sigmoid,"sigmoid(coef0=0.0, gamma=0.0026367528210539896)",0.0,7.263496259005634e-16,45.50369373450432,55.16864392990745,31.722787977355214,11.952338052322188,29.45025384419489,1.604135360514635e-10,0.0,0.12014403401227546,0.1278900801323897,0.06021498137111232,0.03093561450542918,0.0518037067747208
