variant,r,stage1_kernel,stage1_params,stage1_label,val_acc,best_svm_kernel,best_svm_params,diag,regime,repeat
MY-small_mu,1,laplacian,{'gamma': 0.0029468115110298557},laplacian(gamma=0.0029468115110298557),0.6212121212121212,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0001]), 'lambdas': array([0.0001]), 'D_scores': array([5074.2799])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,1,polynomial,"{'degree': 2, 'gamma': 0.0029468115110298557, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0029468115110298557)",0.49393939393939396,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0021]), 'lambdas': array([0.0021]), 'D_scores': array([232.1823])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,1,sigmoid,"{'gamma': 0.0029468115110298557, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0029468115110298557)",0.5242424242424243,poly,"{'C': 0.5, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0137]), 'lambdas': array([0.0137]), 'D_scores': array([33.775])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,2,linear,{},linear,0.5454545454545454,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0022]), 'lambdas': array([0.    , 0.0022]), 'D_scores': array([6.0378e+08, 2.2666e+02])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,2,rbf,{'gamma': 0.0029468115110298557},rbf(gamma=0.0029468115110298557),0.7696969696969697,poly,"{'C': 0.5, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0001, 0.0002]), 'lambdas': array([0.0001, 0.0002]), 'D_scores': array([6272.5129, 2174.992 ])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,2,laplacian,{'gamma': 0.0029468115110298557},laplacian(gamma=0.0029468115110298557),0.6454545454545455,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0001, 0.0003]), 'lambdas': array([0.0001, 0.0003]), 'D_scores': array([5056.3275, 1466.0534])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,2,polynomial,"{'degree': 2, 'gamma': 0.0029468115110298557, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0029468115110298557)",0.503030303030303,sigmoid,"{'C': 0.5, 'gamma': 'scale', 'coef0': 0.0}","{'thetas': array([0.0028, 0.0044]), 'lambdas': array([0.0028, 0.0044]), 'D_scores': array([177.7194, 110.9433])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,2,sigmoid,"{'gamma': 0.0029468115110298557, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0029468115110298557)",0.5151515151515151,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0001, 0.0036]), 'lambdas': array([0.0001, 0.0036]), 'D_scores': array([5264.5809,  137.7714])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,3,linear,{},linear,0.5575757575757576,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0001, 0.0057, 0.0162]), 'lambdas': array([0.0001, 0.0057, 0.0162]), 'D_scores': array([3531.1997,   84.7182,   28.2523])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,3,rbf,{'gamma': 0.0029468115110298557},rbf(gamma=0.0029468115110298557),0.7909090909090909,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0001, 0.0006]), 'lambdas': array([0.    , 0.0001, 0.0006]), 'D_scores': array([12110.0435,  9401.9409,   809.5809])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,3,laplacian,{'gamma': 0.0029468115110298557},laplacian(gamma=0.0029468115110298557),0.6606060606060606,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0001, 0.0002, 0.0004]), 'lambdas': array([0.0001, 0.0002, 0.0004]), 'D_scores': array([3547.0516, 2342.999 , 1236.199 ])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,3,polynomial,"{'degree': 2, 'gamma': 0.0029468115110298557, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0029468115110298557)",0.5333333333333333,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.0001, 0.0057, 0.006 ]), 'lambdas': array([0.0001, 0.0057, 0.006 ]), 'D_scores': array([8412.5092,   84.2591,   80.1187])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,3,sigmoid,"{'gamma': 0.0029468115110298557, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0029468115110298557)",0.5969696969696969,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.0033, 0.0202, 0.0287]), 'lambdas': array([0.0033, 0.0202, 0.0287]), 'D_scores': array([149.8675,  22.3174,  15.1768])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,4,linear,{},linear,0.5060606060606061,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.    , 0.0058, 0.0107, 0.0223]), 'lambdas': array([0.    , 0.0058, 0.0107, 0.0223]), 'D_scores': array([2.4759e+08, 8.3036e+01, 4.4077e+01, 1.9984e+01])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,4,rbf,{'gamma': 0.0029468115110298557},rbf(gamma=0.0029468115110298557),0.7818181818181819,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.0001, 0.0003, 0.0007, 0.001 ]), 'lambdas': array([0.0001, 0.0003, 0.0007, 0.001 ]), 'D_scores': array([5587.3912, 1931.0638,  747.0111,  488.5095])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,4,laplacian,{'gamma': 0.0029468115110298557},laplacian(gamma=0.0029468115110298557),0.6606060606060606,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0001, 0.0002, 0.0005, 0.0006]), 'lambdas': array([0.0001, 0.0002, 0.0005, 0.0006]), 'D_scores': array([5540.7218, 2305.1112,  985.4799,  824.7479])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,4,polynomial,"{'degree': 2, 'gamma': 0.0029468115110298557, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0029468115110298557)",0.5242424242424243,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0012, 0.0056, 0.009 , 0.0115]), 'lambdas': array([0.0012, 0.0056, 0.009 , 0.0115]), 'D_scores': array([400.9646,  86.1216,  52.684 ,  40.714 ])}",oldstyle_diff_mean_scale_gap,1
MY-small_mu,4,sigmoid,"{'gamma': 0.0029468115110298557, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0029468115110298557)",0.7,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([       0.0136,        0.0376,        0.0509, 13660480.3702]), 'lambdas': array([       0.0136,        0.0376,        0.0509, 13660480.3702]), 'D_scores': array([34.1069, 11.1831,  7.854 ,  7.7151])}",oldstyle_diff_mean_scale_gap,1
