pair,class0,class1,rep,family,r,stage1_kernel,acc,probe_C
airplane vs bird,airplane,bird,1,large_mu,10,linear,0.92,0.1
airplane vs bird,airplane,bird,1,large_mu,16,linear,0.9225,1.0
airplane vs bird,airplane,bird,1,large_mu,24,linear,0.9275,0.1
airplane vs bird,airplane,bird,1,large_mu,1,rbf,0.94,0.1
airplane vs bird,airplane,bird,1,large_mu,2,rbf,0.94,0.1
airplane vs bird,airplane,bird,1,large_mu,4,rbf,0.9375,0.1
airplane vs bird,airplane,bird,1,large_mu,6,rbf,0.9375,0.1
airplane vs bird,airplane,bird,1,large_mu,8,rbf,0.9375,0.1
airplane vs bird,airplane,bird,1,large_mu,10,rbf,0.9375,0.1
airplane vs bird,airplane,bird,1,large_mu,16,rbf,0.945,0.1
airplane vs bird,airplane,bird,1,large_mu,24,rbf,0.9475,1.0
airplane vs bird,airplane,bird,1,large_mu,1,laplacian,0.945,1.0
airplane vs bird,airplane,bird,1,large_mu,2,laplacian,0.945,0.1
airplane vs bird,airplane,bird,1,large_mu,4,laplacian,0.95,10.0
airplane vs bird,airplane,bird,1,large_mu,6,laplacian,0.95,0.1
airplane vs bird,airplane,bird,1,large_mu,8,laplacian,0.95,1.0
airplane vs bird,airplane,bird,1,large_mu,10,laplacian,0.9475,1.0
airplane vs bird,airplane,bird,1,large_mu,16,laplacian,0.95,0.1
airplane vs bird,airplane,bird,1,large_mu,24,laplacian,0.95,0.1
airplane vs bird,airplane,bird,1,large_mu,1,polynomial,0.945,0.1
airplane vs bird,airplane,bird,1,large_mu,2,polynomial,0.9375,1.0
airplane vs bird,airplane,bird,1,large_mu,4,polynomial,0.945,0.1
airplane vs bird,airplane,bird,1,large_mu,6,polynomial,0.9425,10.0
airplane vs bird,airplane,bird,1,large_mu,8,polynomial,0.9425,10.0
airplane vs bird,airplane,bird,1,large_mu,10,polynomial,0.9425,1.0
airplane vs bird,airplane,bird,1,large_mu,16,polynomial,0.945,0.1
airplane vs bird,airplane,bird,1,large_mu,24,polynomial,0.94,0.1
airplane vs bird,airplane,bird,1,large_mu,1,sigmoid,0.8075,0.1
airplane vs bird,airplane,bird,1,large_mu,2,sigmoid,0.7975,1.0
airplane vs bird,airplane,bird,1,large_mu,4,sigmoid,0.805,1.0
airplane vs bird,airplane,bird,1,large_mu,6,sigmoid,0.8025,10.0
airplane vs bird,airplane,bird,1,large_mu,8,sigmoid,0.8375,0.1
airplane vs bird,airplane,bird,1,large_mu,10,sigmoid,0.8375,1.0
airplane vs bird,airplane,bird,1,large_mu,16,sigmoid,0.83,10.0
airplane vs bird,airplane,bird,1,large_mu,24,sigmoid,0.8375,1.0
airplane vs bird,airplane,bird,1,small_mu,1,linear,0.48,0.1
airplane vs bird,airplane,bird,1,small_mu,2,linear,0.4775,0.1
airplane vs bird,airplane,bird,1,small_mu,4,linear,0.5075,0.1
airplane vs bird,airplane,bird,1,small_mu,6,linear,0.5175,1.0
airplane vs bird,airplane,bird,1,small_mu,8,linear,0.5275,0.1
airplane vs bird,airplane,bird,1,small_mu,10,linear,0.5425,1.0
airplane vs bird,airplane,bird,1,small_mu,16,linear,0.585,0.1
airplane vs bird,airplane,bird,1,small_mu,24,linear,0.615,1.0
airplane vs bird,airplane,bird,1,small_mu,1,rbf,0.5425,0.1
airplane vs bird,airplane,bird,1,small_mu,2,rbf,0.5525,10.0
airplane vs bird,airplane,bird,1,small_mu,4,rbf,0.53,1.0
airplane vs bird,airplane,bird,1,small_mu,6,rbf,0.5325,1.0
airplane vs bird,airplane,bird,1,small_mu,8,rbf,0.55,1.0
airplane vs bird,airplane,bird,1,small_mu,10,rbf,0.5725,0.1
airplane vs bird,airplane,bird,1,small_mu,16,rbf,0.6325,1.0
airplane vs bird,airplane,bird,1,small_mu,24,rbf,0.665,1.0
airplane vs bird,airplane,bird,1,small_mu,1,laplacian,0.6125,0.1
airplane vs bird,airplane,bird,1,small_mu,2,laplacian,0.6025,0.1
airplane vs bird,airplane,bird,1,small_mu,4,laplacian,0.6175,0.1
airplane vs bird,airplane,bird,1,small_mu,6,laplacian,0.61,0.1
airplane vs bird,airplane,bird,1,small_mu,8,laplacian,0.6625,0.1
airplane vs bird,airplane,bird,1,small_mu,10,laplacian,0.6525,0.1
airplane vs bird,airplane,bird,1,small_mu,16,laplacian,0.675,0.1
airplane vs bird,airplane,bird,1,small_mu,24,laplacian,0.71,1.0
airplane vs bird,airplane,bird,1,small_mu,1,polynomial,0.485,0.1
airplane vs bird,airplane,bird,1,small_mu,2,polynomial,0.4975,0.1
airplane vs bird,airplane,bird,1,small_mu,4,polynomial,0.5275,0.1
airplane vs bird,airplane,bird,1,small_mu,6,polynomial,0.54,0.1
airplane vs bird,airplane,bird,1,small_mu,8,polynomial,0.5325,0.1
airplane vs bird,airplane,bird,1,small_mu,10,polynomial,0.5425,0.1
airplane vs bird,airplane,bird,1,small_mu,16,polynomial,0.5275,1.0
airplane vs bird,airplane,bird,1,small_mu,24,polynomial,0.5575,1.0
airplane vs bird,airplane,bird,1,small_mu,1,sigmoid,0.57,0.1
airplane vs bird,airplane,bird,1,small_mu,2,sigmoid,0.5725,0.1
airplane vs bird,airplane,bird,1,small_mu,4,sigmoid,0.5675,0.1
airplane vs bird,airplane,bird,1,small_mu,6,sigmoid,0.6025,0.1
airplane vs bird,airplane,bird,1,small_mu,8,sigmoid,0.64,10.0
airplane vs bird,airplane,bird,1,small_mu,10,sigmoid,0.635,1.0
