pair,class0,class1,rep,family,r,stage1_kernel,acc,probe_C
airplane vs ship,airplane,ship,1,small_mu,10,rbf,0.585,0.1
airplane vs ship,airplane,ship,1,small_mu,16,rbf,0.575,0.1
airplane vs ship,airplane,ship,1,small_mu,24,rbf,0.6025,0.1
airplane vs ship,airplane,ship,1,small_mu,1,laplacian,0.465,0.1
airplane vs ship,airplane,ship,1,small_mu,2,laplacian,0.4775,1.0
airplane vs ship,airplane,ship,1,small_mu,4,laplacian,0.495,0.1
airplane vs ship,airplane,ship,1,small_mu,6,laplacian,0.51,1.0
airplane vs ship,airplane,ship,1,small_mu,8,laplacian,0.505,1.0
airplane vs ship,airplane,ship,1,small_mu,10,laplacian,0.545,10.0
airplane vs ship,airplane,ship,1,small_mu,16,laplacian,0.62,0.1
airplane vs ship,airplane,ship,1,small_mu,24,laplacian,0.685,0.1
airplane vs ship,airplane,ship,1,small_mu,1,polynomial,0.545,1.0
airplane vs ship,airplane,ship,1,small_mu,2,polynomial,0.5625,0.1
airplane vs ship,airplane,ship,1,small_mu,4,polynomial,0.5625,1.0
airplane vs ship,airplane,ship,1,small_mu,6,polynomial,0.585,0.1
airplane vs ship,airplane,ship,1,small_mu,8,polynomial,0.575,1.0
airplane vs ship,airplane,ship,1,small_mu,10,polynomial,0.585,0.1
airplane vs ship,airplane,ship,1,small_mu,16,polynomial,0.595,0.1
airplane vs ship,airplane,ship,1,small_mu,24,polynomial,0.6625,0.1
airplane vs ship,airplane,ship,1,small_mu,1,sigmoid,0.5275,0.1
airplane vs ship,airplane,ship,1,small_mu,2,sigmoid,0.4775,0.1
airplane vs ship,airplane,ship,1,small_mu,4,sigmoid,0.515,10.0
airplane vs ship,airplane,ship,1,small_mu,6,sigmoid,0.5175,1.0
airplane vs ship,airplane,ship,1,small_mu,8,sigmoid,0.5475,0.1
airplane vs ship,airplane,ship,1,small_mu,10,sigmoid,0.555,0.1
airplane vs ship,airplane,ship,1,small_mu,16,sigmoid,0.565,1.0
airplane vs ship,airplane,ship,1,small_mu,24,sigmoid,0.62,1.0
airplane vs ship,airplane,ship,2,large_mu,1,linear,0.8475,10.0
airplane vs ship,airplane,ship,2,large_mu,2,linear,0.85,1.0
airplane vs ship,airplane,ship,2,large_mu,4,linear,0.845,10.0
airplane vs ship,airplane,ship,2,large_mu,6,linear,0.84,10.0
airplane vs ship,airplane,ship,2,large_mu,8,linear,0.8425,10.0
airplane vs ship,airplane,ship,2,large_mu,10,linear,0.8425,10.0
airplane vs ship,airplane,ship,2,large_mu,16,linear,0.8475,1.0
airplane vs ship,airplane,ship,2,large_mu,24,linear,0.8575,1.0
airplane vs ship,airplane,ship,2,large_mu,1,rbf,0.8875,1.0
airplane vs ship,airplane,ship,2,large_mu,2,rbf,0.8825,1.0
airplane vs ship,airplane,ship,2,large_mu,4,rbf,0.8825,1.0
airplane vs ship,airplane,ship,2,large_mu,6,rbf,0.8825,1.0
airplane vs ship,airplane,ship,2,large_mu,8,rbf,0.89,0.1
airplane vs ship,airplane,ship,2,large_mu,10,rbf,0.88,10.0
airplane vs ship,airplane,ship,2,large_mu,16,rbf,0.8825,0.1
airplane vs ship,airplane,ship,2,large_mu,24,rbf,0.8975,0.1
airplane vs ship,airplane,ship,2,large_mu,1,laplacian,0.8875,0.1
airplane vs ship,airplane,ship,2,large_mu,2,laplacian,0.8925,0.1
airplane vs ship,airplane,ship,2,large_mu,4,laplacian,0.8925,0.1
airplane vs ship,airplane,ship,2,large_mu,6,laplacian,0.895,0.1
airplane vs ship,airplane,ship,2,large_mu,8,laplacian,0.8975,0.1
airplane vs ship,airplane,ship,2,large_mu,10,laplacian,0.9075,1.0
airplane vs ship,airplane,ship,2,large_mu,16,laplacian,0.9,1.0
airplane vs ship,airplane,ship,2,large_mu,24,laplacian,0.9025,0.1
airplane vs ship,airplane,ship,2,large_mu,1,polynomial,0.8675,10.0
airplane vs ship,airplane,ship,2,large_mu,2,polynomial,0.87,10.0
airplane vs ship,airplane,ship,2,large_mu,4,polynomial,0.8725,10.0
airplane vs ship,airplane,ship,2,large_mu,6,polynomial,0.8775,10.0
airplane vs ship,airplane,ship,2,large_mu,8,polynomial,0.875,1.0
airplane vs ship,airplane,ship,2,large_mu,10,polynomial,0.8725,1.0
airplane vs ship,airplane,ship,2,large_mu,16,polynomial,0.8875,1.0
airplane vs ship,airplane,ship,2,large_mu,24,polynomial,0.885,10.0
airplane vs ship,airplane,ship,2,large_mu,1,sigmoid,0.61,1.0
airplane vs ship,airplane,ship,2,large_mu,2,sigmoid,0.615,1.0
airplane vs ship,airplane,ship,2,large_mu,4,sigmoid,0.6225,10.0
airplane vs ship,airplane,ship,2,large_mu,6,sigmoid,0.605,0.1
airplane vs ship,airplane,ship,2,large_mu,8,sigmoid,0.6075,0.1
airplane vs ship,airplane,ship,2,large_mu,10,sigmoid,0.6075,0.1
airplane vs ship,airplane,ship,2,large_mu,16,sigmoid,0.635,1.0
airplane vs ship,airplane,ship,2,large_mu,24,sigmoid,0.65,10.0
airplane vs ship,airplane,ship,2,small_mu,1,linear,0.55,0.1
airplane vs ship,airplane,ship,2,small_mu,2,linear,0.5325,0.1
airplane vs ship,airplane,ship,2,small_mu,4,linear,0.515,0.1
airplane vs ship,airplane,ship,2,small_mu,6,linear,0.545,0.1
airplane vs ship,airplane,ship,2,small_mu,8,linear,0.575,1.0
airplane vs ship,airplane,ship,2,small_mu,10,linear,0.5975,0.1
airplane vs ship,airplane,ship,2,small_mu,16,linear,0.59,1.0
airplane vs ship,airplane,ship,2,small_mu,24,linear,0.5925,0.1
airplane vs ship,airplane,ship,2,small_mu,1,rbf,0.5225,0.1
airplane vs ship,airplane,ship,2,small_mu,2,rbf,0.6075,0.1
airplane vs ship,airplane,ship,2,small_mu,4,rbf,0.595,0.1
airplane vs ship,airplane,ship,2,small_mu,6,rbf,0.6125,0.1
airplane vs ship,airplane,ship,2,small_mu,8,rbf,0.6175,1.0
airplane vs ship,airplane,ship,2,small_mu,10,rbf,0.65,0.1
airplane vs ship,airplane,ship,2,small_mu,16,rbf,0.645,1.0
airplane vs ship,airplane,ship,2,small_mu,24,rbf,0.6775,0.1
airplane vs ship,airplane,ship,2,small_mu,1,laplacian,0.57,1.0
airplane vs ship,airplane,ship,2,small_mu,2,laplacian,0.525,0.1
airplane vs ship,airplane,ship,2,small_mu,4,laplacian,0.5625,0.1
airplane vs ship,airplane,ship,2,small_mu,6,laplacian,0.575,0.1
airplane vs ship,airplane,ship,2,small_mu,8,laplacian,0.5725,0.1
airplane vs ship,airplane,ship,2,small_mu,10,laplacian,0.5825,0.1
airplane vs ship,airplane,ship,2,small_mu,16,laplacian,0.655,0.1
airplane vs ship,airplane,ship,2,small_mu,24,laplacian,0.6525,10.0
airplane vs ship,airplane,ship,2,small_mu,1,polynomial,0.54,1.0
airplane vs ship,airplane,ship,2,small_mu,2,polynomial,0.53,0.1
airplane vs ship,airplane,ship,2,small_mu,4,polynomial,0.57,0.1
airplane vs ship,airplane,ship,2,small_mu,6,polynomial,0.5825,0.1
airplane vs ship,airplane,ship,2,small_mu,8,polynomial,0.595,0.1
airplane vs ship,airplane,ship,2,small_mu,10,polynomial,0.585,0.1
airplane vs ship,airplane,ship,2,small_mu,16,polynomial,0.61,1.0
airplane vs ship,airplane,ship,2,small_mu,24,polynomial,0.6275,0.1
airplane vs ship,airplane,ship,2,small_mu,1,sigmoid,0.49,0.1
airplane vs ship,airplane,ship,2,small_mu,2,sigmoid,0.59,10.0
airplane vs ship,airplane,ship,2,small_mu,4,sigmoid,0.5675,1.0
airplane vs ship,airplane,ship,2,small_mu,6,sigmoid,0.5725,0.1
airplane vs ship,airplane,ship,2,small_mu,8,sigmoid,0.575,10.0
airplane vs ship,airplane,ship,2,small_mu,10,sigmoid,0.57,10.0
airplane vs ship,airplane,ship,2,small_mu,16,sigmoid,0.6025,0.1
airplane vs ship,airplane,ship,2,small_mu,24,sigmoid,0.63,10.0
automobile vs truck,automobile,truck,0,large_mu,1,linear,0.86,10.0
automobile vs truck,automobile,truck,0,large_mu,2,linear,0.8625,1.0
automobile vs truck,automobile,truck,0,large_mu,4,linear,0.8575,0.1
automobile vs truck,automobile,truck,0,large_mu,6,linear,0.86,1.0
automobile vs truck,automobile,truck,0,large_mu,8,linear,0.85,0.1
automobile vs truck,automobile,truck,0,large_mu,10,linear,0.855,10.0
automobile vs truck,automobile,truck,0,large_mu,16,linear,0.865,0.1
automobile vs truck,automobile,truck,0,large_mu,24,linear,0.865,1.0
automobile vs truck,automobile,truck,0,large_mu,1,rbf,0.88,0.1
automobile vs truck,automobile,truck,0,large_mu,2,rbf,0.8825,0.1
automobile vs truck,automobile,truck,0,large_mu,4,rbf,0.8825,10.0
automobile vs truck,automobile,truck,0,large_mu,6,rbf,0.885,0.1
automobile vs truck,automobile,truck,0,large_mu,8,rbf,0.885,1.0
automobile vs truck,automobile,truck,0,large_mu,10,rbf,0.89,0.1
automobile vs truck,automobile,truck,0,large_mu,16,rbf,0.9,0.1
automobile vs truck,automobile,truck,0,large_mu,24,rbf,0.8925,0.1
automobile vs truck,automobile,truck,0,large_mu,1,laplacian,0.895,0.1
automobile vs truck,automobile,truck,0,large_mu,2,laplacian,0.8925,10.0
automobile vs truck,automobile,truck,0,large_mu,4,laplacian,0.8925,0.1
automobile vs truck,automobile,truck,0,large_mu,6,laplacian,0.895,0.1
automobile vs truck,automobile,truck,0,large_mu,8,laplacian,0.8975,0.1
automobile vs truck,automobile,truck,0,large_mu,10,laplacian,0.895,0.1
automobile vs truck,automobile,truck,0,large_mu,16,laplacian,0.8975,0.1
automobile vs truck,automobile,truck,0,large_mu,24,laplacian,0.905,0.1
automobile vs truck,automobile,truck,0,large_mu,1,polynomial,0.8875,10.0
automobile vs truck,automobile,truck,0,large_mu,2,polynomial,0.89,0.1
automobile vs truck,automobile,truck,0,large_mu,4,polynomial,0.8975,10.0
automobile vs truck,automobile,truck,0,large_mu,6,polynomial,0.9,1.0
automobile vs truck,automobile,truck,0,large_mu,8,polynomial,0.9,10.0
automobile vs truck,automobile,truck,0,large_mu,10,polynomial,0.8975,0.1
automobile vs truck,automobile,truck,0,large_mu,16,polynomial,0.885,0.1
automobile vs truck,automobile,truck,0,large_mu,24,polynomial,0.8925,0.1
automobile vs truck,automobile,truck,0,large_mu,1,sigmoid,0.69,0.1
automobile vs truck,automobile,truck,0,large_mu,2,sigmoid,0.705,0.1
automobile vs truck,automobile,truck,0,large_mu,4,sigmoid,0.68,0.1
automobile vs truck,automobile,truck,0,large_mu,6,sigmoid,0.69,0.1
automobile vs truck,automobile,truck,0,large_mu,8,sigmoid,0.7025,0.1
automobile vs truck,automobile,truck,0,large_mu,10,sigmoid,0.6975,0.1
automobile vs truck,automobile,truck,0,large_mu,16,sigmoid,0.715,1.0
automobile vs truck,automobile,truck,0,large_mu,24,sigmoid,0.7175,0.1
automobile vs truck,automobile,truck,0,small_mu,1,linear,0.45,0.1
automobile vs truck,automobile,truck,0,small_mu,2,linear,0.49,0.1
automobile vs truck,automobile,truck,0,small_mu,4,linear,0.5775,10.0
automobile vs truck,automobile,truck,0,small_mu,6,linear,0.5775,1.0
automobile vs truck,automobile,truck,0,small_mu,8,linear,0.5925,0.1
automobile vs truck,automobile,truck,0,small_mu,10,linear,0.6175,0.1
automobile vs truck,automobile,truck,0,small_mu,16,linear,0.625,10.0
automobile vs truck,automobile,truck,0,small_mu,24,linear,0.65,0.1
automobile vs truck,automobile,truck,0,small_mu,1,rbf,0.6225,0.1
automobile vs truck,automobile,truck,0,small_mu,2,rbf,0.6325,0.1
automobile vs truck,automobile,truck,0,small_mu,4,rbf,0.6475,1.0
automobile vs truck,automobile,truck,0,small_mu,6,rbf,0.66,0.1
automobile vs truck,automobile,truck,0,small_mu,8,rbf,0.6675,0.1
automobile vs truck,automobile,truck,0,small_mu,10,rbf,0.6725,0.1
automobile vs truck,automobile,truck,0,small_mu,16,rbf,0.685,0.1
automobile vs truck,automobile,truck,0,small_mu,24,rbf,0.675,1.0
automobile vs truck,automobile,truck,0,small_mu,1,laplacian,0.565,0.1
automobile vs truck,automobile,truck,0,small_mu,2,laplacian,0.5925,1.0
automobile vs truck,automobile,truck,0,small_mu,4,laplacian,0.595,0.1
automobile vs truck,automobile,truck,0,small_mu,6,laplacian,0.6275,0.1
automobile vs truck,automobile,truck,0,small_mu,8,laplacian,0.6375,10.0
automobile vs truck,automobile,truck,0,small_mu,10,laplacian,0.6525,1.0
automobile vs truck,automobile,truck,0,small_mu,16,laplacian,0.69,10.0
automobile vs truck,automobile,truck,0,small_mu,24,laplacian,0.7,0.1
automobile vs truck,automobile,truck,0,small_mu,1,polynomial,0.53,0.1
automobile vs truck,automobile,truck,0,small_mu,2,polynomial,0.5375,1.0
automobile vs truck,automobile,truck,0,small_mu,4,polynomial,0.5175,0.1
automobile vs truck,automobile,truck,0,small_mu,6,polynomial,0.56,0.1
automobile vs truck,automobile,truck,0,small_mu,8,polynomial,0.61,1.0
automobile vs truck,automobile,truck,0,small_mu,10,polynomial,0.6175,0.1
automobile vs truck,automobile,truck,0,small_mu,16,polynomial,0.6525,0.1
automobile vs truck,automobile,truck,0,small_mu,24,polynomial,0.6975,0.1
automobile vs truck,automobile,truck,0,small_mu,1,sigmoid,0.59,0.1
automobile vs truck,automobile,truck,0,small_mu,2,sigmoid,0.585,1.0
automobile vs truck,automobile,truck,0,small_mu,4,sigmoid,0.5725,0.1
automobile vs truck,automobile,truck,0,small_mu,6,sigmoid,0.6025,1.0
automobile vs truck,automobile,truck,0,small_mu,8,sigmoid,0.585,0.1
automobile vs truck,automobile,truck,0,small_mu,10,sigmoid,0.5825,0.1
automobile vs truck,automobile,truck,0,small_mu,16,sigmoid,0.565,0.1
automobile vs truck,automobile,truck,0,small_mu,24,sigmoid,0.605,0.1
automobile vs truck,automobile,truck,1,large_mu,1,linear,0.8525,10.0
automobile vs truck,automobile,truck,1,large_mu,2,linear,0.86,0.1
automobile vs truck,automobile,truck,1,large_mu,4,linear,0.86,10.0
automobile vs truck,automobile,truck,1,large_mu,6,linear,0.8575,0.1
automobile vs truck,automobile,truck,1,large_mu,8,linear,0.855,1.0
automobile vs truck,automobile,truck,1,large_mu,10,linear,0.8475,0.1
automobile vs truck,automobile,truck,1,large_mu,16,linear,0.845,10.0
automobile vs truck,automobile,truck,1,large_mu,24,linear,0.8525,0.1
automobile vs truck,automobile,truck,1,large_mu,1,rbf,0.9,0.1
automobile vs truck,automobile,truck,1,large_mu,2,rbf,0.9,1.0
automobile vs truck,automobile,truck,1,large_mu,4,rbf,0.9,0.1
automobile vs truck,automobile,truck,1,large_mu,6,rbf,0.9,0.1
automobile vs truck,automobile,truck,1,large_mu,8,rbf,0.9,10.0
automobile vs truck,automobile,truck,1,large_mu,10,rbf,0.895,10.0
automobile vs truck,automobile,truck,1,large_mu,16,rbf,0.895,0.1
automobile vs truck,automobile,truck,1,large_mu,24,rbf,0.89,1.0
automobile vs truck,automobile,truck,1,large_mu,1,laplacian,0.9025,1.0
automobile vs truck,automobile,truck,1,large_mu,2,laplacian,0.9,0.1
automobile vs truck,automobile,truck,1,large_mu,4,laplacian,0.8975,0.1
automobile vs truck,automobile,truck,1,large_mu,6,laplacian,0.9,0.1
automobile vs truck,automobile,truck,1,large_mu,8,laplacian,0.9,0.1
automobile vs truck,automobile,truck,1,large_mu,10,laplacian,0.9025,1.0
automobile vs truck,automobile,truck,1,large_mu,16,laplacian,0.9025,0.1
automobile vs truck,automobile,truck,1,large_mu,24,laplacian,0.905,10.0
automobile vs truck,automobile,truck,1,large_mu,1,polynomial,0.885,10.0
automobile vs truck,automobile,truck,1,large_mu,2,polynomial,0.885,0.1
automobile vs truck,automobile,truck,1,large_mu,4,polynomial,0.8875,1.0
automobile vs truck,automobile,truck,1,large_mu,6,polynomial,0.8825,1.0
automobile vs truck,automobile,truck,1,large_mu,8,polynomial,0.88,1.0
automobile vs truck,automobile,truck,1,large_mu,10,polynomial,0.875,10.0
automobile vs truck,automobile,truck,1,large_mu,16,polynomial,0.8825,0.1
automobile vs truck,automobile,truck,1,large_mu,24,polynomial,0.8725,1.0
automobile vs truck,automobile,truck,1,large_mu,1,sigmoid,0.6525,0.1
automobile vs truck,automobile,truck,1,large_mu,2,sigmoid,0.645,1.0
automobile vs truck,automobile,truck,1,large_mu,4,sigmoid,0.6375,10.0
automobile vs truck,automobile,truck,1,large_mu,6,sigmoid,0.645,1.0
automobile vs truck,automobile,truck,1,large_mu,8,sigmoid,0.65,0.1
automobile vs truck,automobile,truck,1,large_mu,10,sigmoid,0.645,1.0
automobile vs truck,automobile,truck,1,large_mu,16,sigmoid,0.6425,0.1
automobile vs truck,automobile,truck,1,large_mu,24,sigmoid,0.6425,0.1
automobile vs truck,automobile,truck,1,small_mu,1,linear,0.5475,0.1
automobile vs truck,automobile,truck,1,small_mu,2,linear,0.5475,0.1
automobile vs truck,automobile,truck,1,small_mu,4,linear,0.49,1.0
automobile vs truck,automobile,truck,1,small_mu,6,linear,0.5125,1.0
automobile vs truck,automobile,truck,1,small_mu,8,linear,0.5725,0.1
automobile vs truck,automobile,truck,1,small_mu,10,linear,0.535,1.0
automobile vs truck,automobile,truck,1,small_mu,16,linear,0.5775,0.1
automobile vs truck,automobile,truck,1,small_mu,24,linear,0.5825,0.1
automobile vs truck,automobile,truck,1,small_mu,1,rbf,0.5975,0.1
automobile vs truck,automobile,truck,1,small_mu,2,rbf,0.5925,1.0
automobile vs truck,automobile,truck,1,small_mu,4,rbf,0.5975,0.1
automobile vs truck,automobile,truck,1,small_mu,6,rbf,0.5875,1.0
automobile vs truck,automobile,truck,1,small_mu,8,rbf,0.595,0.1
automobile vs truck,automobile,truck,1,small_mu,10,rbf,0.6375,1.0
automobile vs truck,automobile,truck,1,small_mu,16,rbf,0.6725,0.1
automobile vs truck,automobile,truck,1,small_mu,24,rbf,0.6425,1.0
automobile vs truck,automobile,truck,1,small_mu,1,laplacian,0.6025,0.1
automobile vs truck,automobile,truck,1,small_mu,2,laplacian,0.6075,0.1
automobile vs truck,automobile,truck,1,small_mu,4,laplacian,0.5725,0.1
automobile vs truck,automobile,truck,1,small_mu,6,laplacian,0.5725,0.1
automobile vs truck,automobile,truck,1,small_mu,8,laplacian,0.605,0.1
automobile vs truck,automobile,truck,1,small_mu,10,laplacian,0.6175,0.1
automobile vs truck,automobile,truck,1,small_mu,16,laplacian,0.6275,1.0
automobile vs truck,automobile,truck,1,small_mu,24,laplacian,0.625,0.1
automobile vs truck,automobile,truck,1,small_mu,1,polynomial,0.5675,0.1
automobile vs truck,automobile,truck,1,small_mu,2,polynomial,0.5075,0.1
automobile vs truck,automobile,truck,1,small_mu,4,polynomial,0.5175,0.1
automobile vs truck,automobile,truck,1,small_mu,6,polynomial,0.4725,1.0
automobile vs truck,automobile,truck,1,small_mu,8,polynomial,0.495,0.1
automobile vs truck,automobile,truck,1,small_mu,10,polynomial,0.525,0.1
automobile vs truck,automobile,truck,1,small_mu,16,polynomial,0.6,1.0
automobile vs truck,automobile,truck,1,small_mu,24,polynomial,0.595,0.1
automobile vs truck,automobile,truck,1,small_mu,1,sigmoid,0.4825,0.1
automobile vs truck,automobile,truck,1,small_mu,2,sigmoid,0.4975,0.1
automobile vs truck,automobile,truck,1,small_mu,4,sigmoid,0.5525,1.0
automobile vs truck,automobile,truck,1,small_mu,6,sigmoid,0.5275,1.0
automobile vs truck,automobile,truck,1,small_mu,8,sigmoid,0.5475,10.0
automobile vs truck,automobile,truck,1,small_mu,10,sigmoid,0.5525,1.0
automobile vs truck,automobile,truck,1,small_mu,16,sigmoid,0.595,1.0
automobile vs truck,automobile,truck,1,small_mu,24,sigmoid,0.585,1.0
automobile vs truck,automobile,truck,2,large_mu,1,linear,0.88,1.0
automobile vs truck,automobile,truck,2,large_mu,2,linear,0.8825,10.0
automobile vs truck,automobile,truck,2,large_mu,4,linear,0.88,0.1
automobile vs truck,automobile,truck,2,large_mu,6,linear,0.88,0.1
automobile vs truck,automobile,truck,2,large_mu,8,linear,0.8825,10.0
automobile vs truck,automobile,truck,2,large_mu,10,linear,0.88,1.0
automobile vs truck,automobile,truck,2,large_mu,16,linear,0.8725,1.0
automobile vs truck,automobile,truck,2,large_mu,24,linear,0.8925,0.1
automobile vs truck,automobile,truck,2,large_mu,1,rbf,0.9075,0.1
automobile vs truck,automobile,truck,2,large_mu,2,rbf,0.91,1.0
automobile vs truck,automobile,truck,2,large_mu,4,rbf,0.915,10.0
automobile vs truck,automobile,truck,2,large_mu,6,rbf,0.915,1.0
automobile vs truck,automobile,truck,2,large_mu,8,rbf,0.915,1.0
automobile vs truck,automobile,truck,2,large_mu,10,rbf,0.92,1.0
automobile vs truck,automobile,truck,2,large_mu,16,rbf,0.91,0.1
automobile vs truck,automobile,truck,2,large_mu,24,rbf,0.9125,0.1
automobile vs truck,automobile,truck,2,large_mu,1,laplacian,0.9125,0.1
automobile vs truck,automobile,truck,2,large_mu,2,laplacian,0.915,1.0
automobile vs truck,automobile,truck,2,large_mu,4,laplacian,0.915,10.0
automobile vs truck,automobile,truck,2,large_mu,6,laplacian,0.9125,1.0
automobile vs truck,automobile,truck,2,large_mu,8,laplacian,0.9125,0.1
automobile vs truck,automobile,truck,2,large_mu,10,laplacian,0.9125,0.1
automobile vs truck,automobile,truck,2,large_mu,16,laplacian,0.9025,10.0
automobile vs truck,automobile,truck,2,large_mu,24,laplacian,0.9125,10.0
automobile vs truck,automobile,truck,2,large_mu,1,polynomial,0.9075,1.0
automobile vs truck,automobile,truck,2,large_mu,2,polynomial,0.9025,1.0
automobile vs truck,automobile,truck,2,large_mu,4,polynomial,0.9025,0.1
automobile vs truck,automobile,truck,2,large_mu,6,polynomial,0.8975,0.1
automobile vs truck,automobile,truck,2,large_mu,8,polynomial,0.9025,0.1
automobile vs truck,automobile,truck,2,large_mu,10,polynomial,0.91,0.1
automobile vs truck,automobile,truck,2,large_mu,16,polynomial,0.8875,10.0
automobile vs truck,automobile,truck,2,large_mu,24,polynomial,0.895,0.1
automobile vs truck,automobile,truck,2,large_mu,1,sigmoid,0.585,0.1
automobile vs truck,automobile,truck,2,large_mu,2,sigmoid,0.5775,1.0
automobile vs truck,automobile,truck,2,large_mu,4,sigmoid,0.5775,0.1
automobile vs truck,automobile,truck,2,large_mu,6,sigmoid,0.6275,1.0
automobile vs truck,automobile,truck,2,large_mu,8,sigmoid,0.645,1.0
automobile vs truck,automobile,truck,2,large_mu,10,sigmoid,0.6275,1.0
automobile vs truck,automobile,truck,2,large_mu,16,sigmoid,0.6325,10.0
automobile vs truck,automobile,truck,2,large_mu,24,sigmoid,0.6275,0.1
automobile vs truck,automobile,truck,2,small_mu,1,linear,0.5175,1.0
automobile vs truck,automobile,truck,2,small_mu,2,linear,0.535,1.0
automobile vs truck,automobile,truck,2,small_mu,4,linear,0.535,1.0
automobile vs truck,automobile,truck,2,small_mu,6,linear,0.535,1.0
automobile vs truck,automobile,truck,2,small_mu,8,linear,0.535,0.1
automobile vs truck,automobile,truck,2,small_mu,10,linear,0.57,0.1
automobile vs truck,automobile,truck,2,small_mu,16,linear,0.5775,0.1
automobile vs truck,automobile,truck,2,small_mu,24,linear,0.635,1.0
automobile vs truck,automobile,truck,2,small_mu,1,rbf,0.5425,0.1
automobile vs truck,automobile,truck,2,small_mu,2,rbf,0.5275,10.0
automobile vs truck,automobile,truck,2,small_mu,4,rbf,0.5675,10.0
automobile vs truck,automobile,truck,2,small_mu,6,rbf,0.5825,0.1
automobile vs truck,automobile,truck,2,small_mu,8,rbf,0.6725,0.1
automobile vs truck,automobile,truck,2,small_mu,10,rbf,0.69,0.1
automobile vs truck,automobile,truck,2,small_mu,16,rbf,0.6675,0.1
automobile vs truck,automobile,truck,2,small_mu,24,rbf,0.7,0.1
automobile vs truck,automobile,truck,2,small_mu,1,laplacian,0.5875,0.1
automobile vs truck,automobile,truck,2,small_mu,2,laplacian,0.5925,0.1
automobile vs truck,automobile,truck,2,small_mu,4,laplacian,0.5725,0.1
automobile vs truck,automobile,truck,2,small_mu,6,laplacian,0.63,0.1
automobile vs truck,automobile,truck,2,small_mu,8,laplacian,0.6425,0.1
automobile vs truck,automobile,truck,2,small_mu,10,laplacian,0.6375,0.1
automobile vs truck,automobile,truck,2,small_mu,16,laplacian,0.7025,0.1
automobile vs truck,automobile,truck,2,small_mu,24,laplacian,0.71,10.0
automobile vs truck,automobile,truck,2,small_mu,1,polynomial,0.4875,0.1
automobile vs truck,automobile,truck,2,small_mu,2,polynomial,0.5025,0.1
automobile vs truck,automobile,truck,2,small_mu,4,polynomial,0.4875,0.1
automobile vs truck,automobile,truck,2,small_mu,6,polynomial,0.5575,1.0
automobile vs truck,automobile,truck,2,small_mu,8,polynomial,0.5775,1.0
automobile vs truck,automobile,truck,2,small_mu,10,polynomial,0.56,1.0
automobile vs truck,automobile,truck,2,small_mu,16,polynomial,0.5875,0.1
automobile vs truck,automobile,truck,2,small_mu,24,polynomial,0.59,1.0
automobile vs truck,automobile,truck,2,small_mu,1,sigmoid,0.46,0.1
automobile vs truck,automobile,truck,2,small_mu,2,sigmoid,0.49,1.0
automobile vs truck,automobile,truck,2,small_mu,4,sigmoid,0.565,0.1
automobile vs truck,automobile,truck,2,small_mu,6,sigmoid,0.5375,10.0
automobile vs truck,automobile,truck,2,small_mu,8,sigmoid,0.575,10.0
automobile vs truck,automobile,truck,2,small_mu,10,sigmoid,0.5675,0.1
automobile vs truck,automobile,truck,2,small_mu,16,sigmoid,0.58,1.0
automobile vs truck,automobile,truck,2,small_mu,24,sigmoid,0.585,1.0
cat vs dog,cat,dog,0,large_mu,1,linear,0.79,1.0
cat vs dog,cat,dog,0,large_mu,2,linear,0.795,1.0
cat vs dog,cat,dog,0,large_mu,4,linear,0.7925,10.0
cat vs dog,cat,dog,0,large_mu,6,linear,0.7825,1.0
cat vs dog,cat,dog,0,large_mu,8,linear,0.79,1.0
cat vs dog,cat,dog,0,large_mu,10,linear,0.785,10.0
cat vs dog,cat,dog,0,large_mu,16,linear,0.7875,0.1
cat vs dog,cat,dog,0,large_mu,24,linear,0.775,10.0
cat vs dog,cat,dog,0,large_mu,1,rbf,0.795,1.0
cat vs dog,cat,dog,0,large_mu,2,rbf,0.805,0.1
cat vs dog,cat,dog,0,large_mu,4,rbf,0.8075,1.0
cat vs dog,cat,dog,0,large_mu,6,rbf,0.8225,1.0
cat vs dog,cat,dog,0,large_mu,8,rbf,0.8225,0.1
cat vs dog,cat,dog,0,large_mu,10,rbf,0.825,0.1
cat vs dog,cat,dog,0,large_mu,16,rbf,0.8225,1.0
cat vs dog,cat,dog,0,large_mu,24,rbf,0.8325,1.0
cat vs dog,cat,dog,0,large_mu,1,laplacian,0.815,0.1
cat vs dog,cat,dog,0,large_mu,2,laplacian,0.815,0.1
cat vs dog,cat,dog,0,large_mu,4,laplacian,0.8075,0.1
cat vs dog,cat,dog,0,large_mu,6,laplacian,0.805,1.0
cat vs dog,cat,dog,0,large_mu,8,laplacian,0.8175,1.0
cat vs dog,cat,dog,0,large_mu,10,laplacian,0.8175,0.1
cat vs dog,cat,dog,0,large_mu,16,laplacian,0.815,0.1
cat vs dog,cat,dog,0,large_mu,24,laplacian,0.8075,10.0
cat vs dog,cat,dog,0,large_mu,1,polynomial,0.79,1.0
cat vs dog,cat,dog,0,large_mu,2,polynomial,0.7925,10.0
cat vs dog,cat,dog,0,large_mu,4,polynomial,0.7875,1.0
cat vs dog,cat,dog,0,large_mu,6,polynomial,0.795,1.0
cat vs dog,cat,dog,0,large_mu,8,polynomial,0.795,10.0
cat vs dog,cat,dog,0,large_mu,10,polynomial,0.7975,0.1
