pair,class0,class1,rep,family,r,stage1_kernel,acc,probe_C
airplane vs ship,airplane,ship,2,large_mu,10,laplacian,0.9075,1.0
airplane vs ship,airplane,ship,2,large_mu,16,laplacian,0.9,1.0
airplane vs ship,airplane,ship,2,large_mu,24,laplacian,0.9025,0.1
airplane vs ship,airplane,ship,2,small_mu,1,laplacian,0.57,1.0
airplane vs ship,airplane,ship,2,small_mu,2,rbf,0.6075,0.1
airplane vs ship,airplane,ship,2,small_mu,4,rbf,0.595,0.1
airplane vs ship,airplane,ship,2,small_mu,6,rbf,0.6125,0.1
airplane vs ship,airplane,ship,2,small_mu,8,rbf,0.6175,1.0
airplane vs ship,airplane,ship,2,small_mu,10,rbf,0.65,0.1
airplane vs ship,airplane,ship,2,small_mu,16,laplacian,0.655,0.1
airplane vs ship,airplane,ship,2,small_mu,24,rbf,0.6775,0.1
automobile vs truck,automobile,truck,0,large_mu,1,laplacian,0.895,0.1
automobile vs truck,automobile,truck,0,large_mu,2,laplacian,0.8925,10.0
automobile vs truck,automobile,truck,0,large_mu,4,polynomial,0.8975,10.0
automobile vs truck,automobile,truck,0,large_mu,6,polynomial,0.9,1.0
automobile vs truck,automobile,truck,0,large_mu,8,polynomial,0.9,10.0
automobile vs truck,automobile,truck,0,large_mu,10,polynomial,0.8975,0.1
automobile vs truck,automobile,truck,0,large_mu,16,rbf,0.9,0.1
automobile vs truck,automobile,truck,0,large_mu,24,laplacian,0.905,0.1
automobile vs truck,automobile,truck,0,small_mu,1,rbf,0.6225,0.1
automobile vs truck,automobile,truck,0,small_mu,2,rbf,0.6325,0.1
automobile vs truck,automobile,truck,0,small_mu,4,rbf,0.6475,1.0
automobile vs truck,automobile,truck,0,small_mu,6,rbf,0.66,0.1
automobile vs truck,automobile,truck,0,small_mu,8,rbf,0.6675,0.1
automobile vs truck,automobile,truck,0,small_mu,10,rbf,0.6725,0.1
automobile vs truck,automobile,truck,0,small_mu,16,laplacian,0.69,10.0
automobile vs truck,automobile,truck,0,small_mu,24,laplacian,0.7,0.1
automobile vs truck,automobile,truck,1,large_mu,1,laplacian,0.9025,1.0
automobile vs truck,automobile,truck,1,large_mu,2,rbf,0.9,1.0
automobile vs truck,automobile,truck,1,large_mu,4,rbf,0.9,0.1
