pair,class0,class1,rep,r,acc,probe_C,epochs
deer vs horse,deer,horse,1,16,0.85,0.1,16
deer vs horse,deer,horse,1,24,0.8575,0.1,16
deer vs horse,deer,horse,2,1,0.8825,0.1,16
deer vs horse,deer,horse,2,2,0.8775,0.1,16
deer vs horse,deer,horse,2,4,0.8725,1.0,16
deer vs horse,deer,horse,2,6,0.88,0.1,16
deer vs horse,deer,horse,2,8,0.875,0.1,16
deer vs horse,deer,horse,2,10,0.8725,0.1,16
deer vs horse,deer,horse,2,16,0.88,0.1,16
deer vs horse,deer,horse,2,24,0.875,1.0,16
ship vs truck,ship,truck,0,1,0.975,0.1,16
ship vs truck,ship,truck,0,2,0.9725,0.1,16
ship vs truck,ship,truck,0,4,0.975,0.1,16
ship vs truck,ship,truck,0,6,0.975,0.1,16
ship vs truck,ship,truck,0,8,0.975,0.1,16
ship vs truck,ship,truck,0,10,0.9775,0.1,16
ship vs truck,ship,truck,0,16,0.9725,0.1,16
ship vs truck,ship,truck,0,24,0.97,0.1,16
ship vs truck,ship,truck,1,1,0.9675,0.1,16
ship vs truck,ship,truck,1,2,0.97,0.1,16
ship vs truck,ship,truck,1,4,0.97,0.1,16
ship vs truck,ship,truck,1,6,0.97,0.1,16
ship vs truck,ship,truck,1,8,0.9675,0.1,16
ship vs truck,ship,truck,1,10,0.9725,0.1,16
ship vs truck,ship,truck,1,16,0.9725,0.1,16
ship vs truck,ship,truck,1,24,0.9725,0.1,16
ship vs truck,ship,truck,2,1,0.9725,0.1,16
ship vs truck,ship,truck,2,2,0.97,0.1,16
ship vs truck,ship,truck,2,4,0.9675,0.1,16
ship vs truck,ship,truck,2,6,0.9625,0.1,16
ship vs truck,ship,truck,2,8,0.9625,0.1,16
ship vs truck,ship,truck,2,10,0.9625,0.1,16
ship vs truck,ship,truck,2,16,0.965,0.1,16
ship vs truck,ship,truck,2,24,0.97,0.1,16
