pair,class0,class1,rep,m,r,stage1_kernel,family,class0_bags,class1_bags,stable_r_limit,coordinate_rank,available_directions,D_mu,D_covariance,heuristic_family,evaluation_protocol,status,status_detail,acc,probe_C
airplane vs bird,airplane,bird,0,8,24,polynomial,small_mu,37,37,36,73,24,157655.78293958268,151876.943934273,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,1.0
airplane vs bird,airplane,bird,0,16,1,laplacian,large_mu,18,18,18,35,24,24020.379566207415,17652.08358433959,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,0.1
airplane vs bird,airplane,bird,0,16,2,sigmoid,large_mu,18,18,18,35,24,70394.68646576081,14293.05352845182,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,10.0
airplane vs bird,airplane,bird,0,16,4,sigmoid,large_mu,18,18,18,35,24,70394.68646576081,14293.05352845182,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9625,0.1
airplane vs bird,airplane,bird,0,16,6,sigmoid,large_mu,18,18,18,35,24,70394.68646576081,14293.05352845182,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.96,0.1
airplane vs bird,airplane,bird,0,16,8,sigmoid,large_mu,18,18,18,35,24,70394.68646576081,14293.05352845182,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,10.0
airplane vs bird,airplane,bird,0,16,10,laplacian,large_mu,18,18,18,35,24,24020.379566207415,17652.08358433959,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,0.1
airplane vs bird,airplane,bird,0,16,16,rbf,large_mu,18,18,18,35,24,31309.201814925174,23429.45573546554,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,1.0
airplane vs bird,airplane,bird,0,16,1,polynomial,small_mu,18,18,17,35,24,187735.05693723875,74529.83920194798,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,0.1
airplane vs bird,airplane,bird,0,16,2,polynomial,small_mu,18,18,17,35,24,187735.05693723875,74529.83920194798,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,10.0
airplane vs bird,airplane,bird,0,16,4,linear,small_mu,18,18,17,35,18,41895361.13400829,11467545.120611114,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,0.1
airplane vs bird,airplane,bird,0,16,6,laplacian,small_mu,18,18,17,35,24,24020.379566207415,17652.08358433959,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,1.0
airplane vs bird,airplane,bird,0,16,8,linear,small_mu,18,18,17,35,18,41895361.13400829,11467545.120611114,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,10.0
airplane vs bird,airplane,bird,0,16,10,linear,small_mu,18,18,17,35,18,41895361.13400829,11467545.120611114,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,0.1
airplane vs bird,airplane,bird,0,16,16,sigmoid,small_mu,18,18,17,35,24,70394.68646576081,14293.05352845182,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,1.0
airplane vs bird,airplane,bird,1,4,1,rbf,large_mu,75,75,75,149,24,26740.41179460979,95954.02764822217,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,0.1
airplane vs bird,airplane,bird,1,4,2,rbf,large_mu,75,75,75,149,24,26740.41179460979,95954.02764822217,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,0.1
airplane vs bird,airplane,bird,1,4,4,polynomial,large_mu,75,75,75,149,24,131256.39769764818,289168.5503270269,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,0.1
airplane vs bird,airplane,bird,1,4,6,rbf,large_mu,75,75,75,149,24,26740.41179460979,95954.02764822217,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,0.1
airplane vs bird,airplane,bird,1,4,8,polynomial,large_mu,75,75,75,149,24,131256.39769764818,289168.5503270269,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,0.1
airplane vs bird,airplane,bird,1,4,10,polynomial,large_mu,75,75,75,149,24,131256.39769764818,289168.5503270269,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,0.1
airplane vs bird,airplane,bird,1,4,16,polynomial,large_mu,75,75,75,149,24,131256.39769764818,289168.5503270269,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,0.1
airplane vs bird,airplane,bird,1,4,24,rbf,large_mu,75,75,75,149,24,26740.41179460979,95954.02764822217,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.96,10.0
airplane vs bird,airplane,bird,1,4,1,rbf,small_mu,75,75,74,149,24,26740.41179460979,95954.02764822217,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,0.1
airplane vs bird,airplane,bird,1,4,2,rbf,small_mu,75,75,74,149,24,26740.41179460979,95954.02764822217,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,0.1
airplane vs bird,airplane,bird,1,4,4,polynomial,small_mu,75,75,74,149,24,131256.39769764818,289168.5503270269,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,1.0
airplane vs bird,airplane,bird,1,4,6,laplacian,small_mu,75,75,74,149,24,20172.897429866112,72446.9171720403,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,1.0
airplane vs bird,airplane,bird,1,4,8,laplacian,small_mu,75,75,74,149,24,20172.897429866112,72446.9171720403,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,1.0
airplane vs bird,airplane,bird,1,4,10,rbf,small_mu,75,75,74,149,24,26740.41179460979,95954.02764822217,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,10.0
airplane vs bird,airplane,bird,1,4,16,laplacian,small_mu,75,75,74,149,24,20172.897429866112,72446.9171720403,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,1.0
airplane vs bird,airplane,bird,1,4,24,rbf,small_mu,75,75,74,149,24,26740.41179460979,95954.02764822217,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,1.0
airplane vs bird,airplane,bird,1,8,1,rbf,large_mu,37,37,37,73,24,30760.18391524105,48085.37270294393,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.94,0.1
airplane vs bird,airplane,bird,1,8,2,linear,large_mu,37,37,37,73,24,35278682.32226013,20909031.167746715,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,0.1
airplane vs bird,airplane,bird,1,8,4,rbf,large_mu,37,37,37,73,24,30760.18391524105,48085.37270294393,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,10.0
airplane vs bird,airplane,bird,1,8,6,rbf,large_mu,37,37,37,73,24,30760.18391524105,48085.37270294393,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,0.1
airplane vs bird,airplane,bird,1,8,8,rbf,large_mu,37,37,37,73,24,30760.18391524105,48085.37270294393,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,0.1
airplane vs bird,airplane,bird,1,8,10,rbf,large_mu,37,37,37,73,24,30760.18391524105,48085.37270294393,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,10.0
airplane vs bird,airplane,bird,1,8,16,laplacian,large_mu,37,37,37,73,24,23469.80170046294,36287.20951897966,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,1,8,24,rbf,large_mu,37,37,37,73,24,30760.18391524105,48085.37270294393,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9525,1.0
airplane vs bird,airplane,bird,1,8,1,rbf,small_mu,37,37,36,73,24,30760.18391524105,48085.37270294393,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,0.1
airplane vs bird,airplane,bird,1,8,2,rbf,small_mu,37,37,36,73,24,30760.18391524105,48085.37270294393,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,10.0
airplane vs bird,airplane,bird,1,8,4,rbf,small_mu,37,37,36,73,24,30760.18391524105,48085.37270294393,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,10.0
airplane vs bird,airplane,bird,1,8,6,rbf,small_mu,37,37,36,73,24,30760.18391524105,48085.37270294393,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,1,8,8,rbf,small_mu,37,37,36,73,24,30760.18391524105,48085.37270294393,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,10.0
airplane vs bird,airplane,bird,1,8,10,rbf,small_mu,37,37,36,73,24,30760.18391524105,48085.37270294393,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,1,8,16,rbf,small_mu,37,37,36,73,24,30760.18391524105,48085.37270294393,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,10.0
airplane vs bird,airplane,bird,1,8,24,rbf,small_mu,37,37,36,73,24,30760.18391524105,48085.37270294393,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,10.0
airplane vs bird,airplane,bird,1,16,1,polynomial,large_mu,18,18,18,35,24,183231.47255203975,77935.51992542918,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,0.1
airplane vs bird,airplane,bird,1,16,2,polynomial,large_mu,18,18,18,35,24,183231.47255203975,77935.51992542918,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,0.1
airplane vs bird,airplane,bird,1,16,4,rbf,large_mu,18,18,18,35,24,31578.78950939104,23763.223862082617,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,0.1
airplane vs bird,airplane,bird,1,16,6,rbf,large_mu,18,18,18,35,24,31578.78950939104,23763.223862082617,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,0.1
airplane vs bird,airplane,bird,1,16,8,polynomial,large_mu,18,18,18,35,24,183231.47255203975,77935.51992542918,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,1.0
airplane vs bird,airplane,bird,1,16,10,rbf,large_mu,18,18,18,35,24,31578.78950939104,23763.223862082617,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,1,16,16,rbf,large_mu,18,18,18,35,24,31578.78950939104,23763.223862082617,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,0.1
airplane vs bird,airplane,bird,1,16,1,rbf,small_mu,18,18,17,35,24,31578.78950939104,23763.223862082617,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,0.1
