pair,class0,class1,rep,m,r,stage1_kernel,family,class0_bags,class1_bags,stable_r_limit,coordinate_rank,available_directions,D_mu,D_covariance,heuristic_family,evaluation_protocol,status,status_detail,acc,probe_C
airplane vs bird,airplane,bird,0,4,24,rbf,small_mu,75,75,74,149,24,24990.940191158952,95615.98925634818,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,10.0
airplane vs bird,airplane,bird,0,4,1,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,10.0
airplane vs bird,airplane,bird,0,4,2,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,1.0
airplane vs bird,airplane,bird,0,4,4,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,1.0
airplane vs bird,airplane,bird,0,4,6,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,10.0
airplane vs bird,airplane,bird,0,4,8,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,1.0
airplane vs bird,airplane,bird,0,4,10,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,1.0
airplane vs bird,airplane,bird,0,4,16,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9675,0.1
airplane vs bird,airplane,bird,0,4,24,laplacian,large_mu,75,75,75,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,1.0
airplane vs bird,airplane,bird,0,4,1,laplacian,small_mu,75,75,74,149,24,18423.780250092554,72004.29669000348,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.96,0.1
airplane vs bird,airplane,bird,0,4,2,laplacian,small_mu,75,75,74,149,24,18423.780250092554,72004.29669000348,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,10.0
airplane vs bird,airplane,bird,0,4,4,laplacian,small_mu,75,75,74,149,24,18423.780250092554,72004.29669000348,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.955,1.0
airplane vs bird,airplane,bird,0,4,6,laplacian,small_mu,75,75,74,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9625,1.0
airplane vs bird,airplane,bird,0,4,8,laplacian,small_mu,75,75,74,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9625,1.0
airplane vs bird,airplane,bird,0,4,10,laplacian,small_mu,75,75,74,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9625,1.0
airplane vs bird,airplane,bird,0,4,16,laplacian,small_mu,75,75,74,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,10.0
airplane vs bird,airplane,bird,0,4,24,laplacian,small_mu,75,75,74,149,24,18423.780250092554,72004.29669000348,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,10.0
airplane vs bird,airplane,bird,0,4,1,polynomial,large_mu,75,75,75,149,24,111685.55876585684,280298.4513691465,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,10.0
airplane vs bird,airplane,bird,0,4,2,polynomial,large_mu,75,75,75,149,24,111685.55876585684,280298.4513691465,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,10.0
airplane vs bird,airplane,bird,0,4,4,polynomial,large_mu,75,75,75,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,10.0
airplane vs bird,airplane,bird,0,4,6,polynomial,large_mu,75,75,75,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9625,1.0
airplane vs bird,airplane,bird,0,4,8,polynomial,large_mu,75,75,75,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,0.1
airplane vs bird,airplane,bird,0,4,10,polynomial,large_mu,75,75,75,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,1.0
airplane vs bird,airplane,bird,0,4,16,polynomial,large_mu,75,75,75,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.975,1.0
airplane vs bird,airplane,bird,0,4,24,polynomial,large_mu,75,75,75,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,1.0
airplane vs bird,airplane,bird,0,4,1,polynomial,small_mu,75,75,74,149,24,111685.55876585684,280298.4513691465,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,0.1
airplane vs bird,airplane,bird,0,4,2,polynomial,small_mu,75,75,74,149,24,111685.55876585684,280298.4513691465,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.96,1.0
airplane vs bird,airplane,bird,0,4,4,polynomial,small_mu,75,75,74,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9575,10.0
airplane vs bird,airplane,bird,0,4,6,polynomial,small_mu,75,75,74,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,1.0
airplane vs bird,airplane,bird,0,4,8,polynomial,small_mu,75,75,74,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9625,10.0
airplane vs bird,airplane,bird,0,4,10,polynomial,small_mu,75,75,74,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9625,1.0
airplane vs bird,airplane,bird,0,4,16,polynomial,small_mu,75,75,74,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9675,10.0
airplane vs bird,airplane,bird,0,4,24,polynomial,small_mu,75,75,74,149,24,111685.55876585684,280298.4513691465,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.97,1.0
airplane vs bird,airplane,bird,0,4,1,sigmoid,large_mu,75,75,75,110,24,10470.21963616097,22223.2637627207,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.8075,1.0
airplane vs bird,airplane,bird,0,4,2,sigmoid,large_mu,75,75,75,110,24,10470.21963616097,22223.2637627207,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.81,1.0
airplane vs bird,airplane,bird,0,4,4,sigmoid,large_mu,75,75,75,110,24,10470.21963616097,22223.2637627207,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.815,1.0
airplane vs bird,airplane,bird,0,4,6,sigmoid,large_mu,75,75,75,110,24,10470.21963616097,22223.2637627207,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.81,0.1
airplane vs bird,airplane,bird,0,4,8,sigmoid,large_mu,75,75,75,110,24,10470.21963616097,22223.2637627207,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.8075,0.1
airplane vs bird,airplane,bird,0,4,10,sigmoid,large_mu,75,75,75,110,24,10470.21963616097,22223.2637627207,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.8075,0.1
airplane vs bird,airplane,bird,0,4,16,sigmoid,large_mu,75,75,75,110,24,10470.21963616097,22223.2637627207,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.8325,0.1
airplane vs bird,airplane,bird,0,4,24,sigmoid,large_mu,75,75,75,110,24,10470.21963616097,22223.2637627207,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.8275,1.0
airplane vs bird,airplane,bird,0,4,1,sigmoid,small_mu,75,75,74,110,24,10470.21963616097,22223.2637627207,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.61,0.1
airplane vs bird,airplane,bird,0,4,2,sigmoid,small_mu,75,75,74,110,24,10470.21963616097,22223.2637627207,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.6475,1.0
airplane vs bird,airplane,bird,0,4,4,sigmoid,small_mu,75,75,74,110,24,10470.21963616097,22223.2637627207,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.7275,0.1
airplane vs bird,airplane,bird,0,4,6,sigmoid,small_mu,75,75,74,110,24,10470.21963616097,22223.2637627207,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.78,0.1
airplane vs bird,airplane,bird,0,4,8,sigmoid,small_mu,75,75,74,110,24,10470.21963616097,22223.2637627207,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.76,0.1
airplane vs bird,airplane,bird,0,4,10,sigmoid,small_mu,75,75,74,110,24,10470.21963616097,22223.2637627207,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.7725,1.0
airplane vs bird,airplane,bird,0,4,16,sigmoid,small_mu,75,75,74,110,24,10470.21963616097,22223.2637627207,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.79,1.0
